formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb4Mo36Ta27W33,4,36,27,33,474.52,188.605,116.017,64.295,64.295,64.294,126.134,283.91,329.593,0.307,2.251,0.812
Nb65Mo9Ta10W16,65,9,10,16,301.18,139.107,33.305,65.638,65.636,65.642,47.984,193.131,132.942,0.385,4.025,0.411
Nb15Mo25Ta53W7,15,25,53,7,349.051,154.413,69.729,65.378,65.369,65.367,79.706,219.292,213.278,0.338,2.751,0.716
Nb3Mo51Ta23W23,3,51,23,23,480.156,189.951,118.164,64.143,64.14,64.142,128.291,286.686,334.916,0.305,2.235,0.814
Nb12Mo12Ta19W57,12,12,19,57,469.626,187.812,113.015,64.368,64.371,64.372,123.452,281.75,323.158,0.309,2.282,0.802
Nb7Mo48Ta15W30,7,48,15,30,483.298,191.272,118.302,64.062,64.062,64.062,128.704,288.614,336.144,0.306,2.242,0.81
Nb3Mo69Ta14W14,3,69,14,14,472.807,185.82,114.372,63.884,63.885,63.886,125.249,281.483,327.214,0.306,2.247,0.797
Nb1Mo24Ta2W73,1,24,2,73,546.025,212.601,150.002,63.662,63.662,63.662,156.476,323.743,404.293,0.292,2.069,0.9
Nb11Mo7Ta59W23,11,7,59,23,348.442,161.607,76.586,65.429,65.43,65.429,82.926,223.886,221.438,0.335,2.7,0.82
Nb10Mo5Ta74W11,10,5,74,11,302.249,156.231,67.143,65.894,65.9,65.891,69.431,204.904,187.154,0.348,2.951,0.92
Nb1Mo20Ta18W61,1,20,18,61,518.64,203.615,136.132,64.024,64.024,64.024,144.316,308.623,374.564,0.298,2.139,0.864
Nb11Mo2Ta30W57,11,2,30,57,441.113,180.552,104.714,64.646,64.646,64.646,114.287,267.406,300.107,0.313,2.34,0.804
Nb8Mo28Ta17W47,8,28,17,47,488.033,193.428,120.701,64.177,64.179,64.178,130.721,291.63,341.184,0.305,2.231,0.819
Nb4Mo36Ta6W54,4,36,6,54,518.475,202.931,135.869,63.802,63.803,63.802,144.244,308.112,374.319,0.298,2.136,0.861
Nb1Mo40Ta12W47,1,40,12,47,516.354,201.931,135.377,63.852,63.854,63.851,143.725,306.738,372.929,0.297,2.134,0.861
Nb15Mo10Ta3W72,15,10,3,72,502.118,198.917,125.758,64.076,64.079,64.078,135.528,299.984,353.368,0.304,2.213,0.83
Nb11Mo46Ta36W7,11,46,36,7,418.12,170.788,91.196,64.708,64.707,64.705,103.041,253.232,272.203,0.321,2.458,0.737
Nb39Mo5Ta3W53,39,5,3,53,421.864,175.916,85.565,64.731,64.728,64.729,98.974,257.899,263.246,0.33,2.606,0.696
Nb29Mo32Ta32W7,29,32,32,7,365.116,156.312,67.406,65.165,65.155,65.161,80.371,225.913,215.552,0.341,2.811,0.646
Nb29Mo26Ta12W33,29,26,12,33,424.046,174.086,87.864,64.631,64.631,64.628,101.209,257.406,268.444,0.326,2.543,0.703
Nb2Mo17Ta35W46,2,17,35,46,460.105,184.763,112.505,64.477,64.48,64.475,121.976,276.543,319.023,0.308,2.267,0.817
Nb21Mo1Ta27W51,21,1,27,51,414.326,173.929,92.309,64.866,64.866,64.865,102.609,254.061,271.302,0.322,2.476,0.768
Nb34Mo37Ta8W21,34,37,8,21,414.985,171.657,81.212,64.629,64.632,64.628,95.531,252.767,254.528,0.332,2.646,0.668
Nb21Mo45Ta22W12,21,45,22,12,420.842,172.013,88.304,64.623,64.617,64.62,101.325,254.956,268.417,0.325,2.516,0.71
Nb10Mo9Ta78W3,10,9,78,3,289.662,153.411,62.429,66.02,66.017,66.018,64.649,198.828,174.981,0.353,3.076,0.916
Nb6Mo84Ta4W6,6,84,4,6,450.4,177.188,102.433,63.667,63.667,63.666,114.962,268.258,301.777,0.313,2.333,0.75
Nb16Mo13Ta40W31,16,13,40,31,388.42,165.512,83.71,65.044,65.046,65.046,93.888,239.814,249.149,0.327,2.554,0.751
Nb50Mo4Ta35W11,50,4,35,11,287.638,142.54,41.588,65.975,65.977,65.976,52.061,190.906,143.168,0.375,3.667,0.573
Nb4Mo55Ta14W27,4,55,14,27,488.032,191.999,121.237,63.944,63.943,63.945,131.322,290.676,342.402,0.304,2.213,0.819
Nb10Mo28Ta57W5,10,28,57,5,353.114,155.261,72.556,65.329,65.32,65.328,82.16,221.212,219.327,0.335,2.692,0.733
Nb12Mo26Ta22W40,12,26,22,40,457.914,183.623,107.263,64.418,64.413,64.417,118.36,275.053,310.537,0.312,2.324,0.782
Nb20Mo15Ta42W23,20,15,42,23,367.595,160.257,75.465,65.223,65.22,65.225,85.713,229.37,228.657,0.334,2.676,0.728
Nb51Mo1Ta15W33,51,1,15,33,340.988,152.954,54.65,65.399,65.402,65.4,68.021,215.632,184.647,0.357,3.17,0.581
Nb6Mo9Ta72W13,6,9,72,13,320.289,156.912,71.58,65.697,65.693,65.694,75.465,211.371,202.318,0.34,2.801,0.876
Nb1Mo1Ta70W28,1,1,70,28,345.472,164.431,83.598,65.478,65.478,65.473,86.302,224.778,229.53,0.33,2.605,0.924
Nb34Mo43Ta1W22,34,43,1,22,430.124,177.141,86.317,64.436,64.434,64.435,100.633,261.469,267.571,0.329,2.598,0.682
Nb40Mo18Ta39W3,40,18,39,3,307.756,144.143,48.411,65.752,65.747,65.749,59.814,198.68,163.078,0.363,3.322,0.592
Nb6Mo77Ta6W11,6,77,6,11,459.938,180.956,107.164,63.742,63.742,63.742,119.104,273.95,312.084,0.31,2.3,0.768
Nb40Mo5Ta42W13,40,5,42,13,300.887,147.243,50.345,65.874,65.875,65.873,59.666,198.457,162.693,0.363,3.326,0.655
Nb13Mo38Ta48W1,13,38,48,1,371.926,157.901,75.311,65.127,65.124,65.128,86.713,229.242,231.011,0.332,2.644,0.704
Nb3Mo25Ta21W51,3,25,21,51,500.513,197.517,127.63,64.141,64.141,64.141,136.695,298.516,355.78,0.301,2.184,0.842
Nb16Mo62Ta21W1,16,62,21,1,433.996,175.708,94.18,64.414,64.416,64.417,106.892,261.804,282.261,0.32,2.449,0.729
Nb12Mo2Ta71W15,12,2,71,15,305.766,157.434,68.238,65.874,65.868,65.867,70.551,206.878,190.048,0.347,2.932,0.92
Nb57Mo17Ta12W14,57,17,12,14,325.342,145.524,43.492,65.435,65.431,65.437,58.435,205.463,160.125,0.37,3.516,0.484
Nb36Mo15Ta24W25,36,15,24,25,366.49,158.398,67.458,65.176,65.186,65.187,80.297,227.762,215.559,0.342,2.837,0.648
Nb22Mo18Ta6W54,22,18,6,54,467.396,187.94,108.091,64.315,64.315,64.314,119.801,281.092,314.695,0.313,2.346,0.774
Nb27Mo8Ta44W21,27,8,44,21,340.639,156.931,66.331,65.489,65.49,65.49,75.583,218.167,203.273,0.345,2.886,0.722
Nb13Mo12Ta1W74,13,12,1,74,513.538,202.79,131.454,63.974,63.976,63.976,140.551,306.373,365.727,0.301,2.18,0.846
Nb46Mo15Ta3W36,46,15,3,36,393.919,166.725,70.706,64.88,64.885,64.885,85.573,242.457,229.696,0.342,2.833,0.622
Nb6Mo27Ta44W23,6,27,44,23,412.003,169.976,92.975,64.821,64.82,64.821,103.331,250.651,272.542,0.319,2.426,0.768
Nb19Mo56Ta18W7,19,56,18,7,432.895,175.667,92.931,64.437,64.437,64.436,105.868,261.409,279.829,0.322,2.469,0.723
Nb10Mo50Ta30W10,10,50,30,10,438.071,176.867,98.794,64.512,64.511,64.515,110.487,263.935,290.874,0.316,2.389,0.756
Nb12Mo11Ta51W26,12,11,51,26,367.561,162.081,80.017,65.245,65.245,65.245,88.445,230.574,235.255,0.33,2.607,0.779
Nb12Mo58Ta2W28,12,58,2,28,474.868,188.301,112.799,63.859,63.859,63.859,124.142,283.823,325.037,0.309,2.286,0.787
Nb2Mo37Ta11W50,2,37,11,50,517.576,202.59,135.652,63.862,63.861,63.862,144.004,307.585,373.694,0.298,2.136,0.861
Nb73Mo11Ta4W12,73,11,4,12,287.092,133.684,23.817,65.684,65.682,65.682,38.93,184.82,109.127,0.402,4.748,0.311
Nb61Mo5Ta17W17,61,5,17,17,297.325,139.925,36.218,65.75,65.75,65.752,49.701,192.392,137.281,0.381,3.871,0.46
Nb12Mo30Ta55W3,12,30,55,3,352.504,154.52,71.089,65.326,65.322,65.327,81.187,220.515,216.937,0.336,2.716,0.718
Nb3Mo33Ta9W55,3,33,9,55,521.115,204.023,137.136,63.849,63.85,63.849,145.333,309.72,377.028,0.297,2.131,0.865
Nb9Mo58Ta14W19,9,58,14,19,469.256,186.296,111.165,64.068,64.066,64.069,122.439,280.616,320.677,0.31,2.292,0.786
Nb22Mo4Ta50W24,22,4,50,24,337.66,157.866,69.682,65.544,65.548,65.55,77.169,217.797,207.053,0.342,2.822,0.775
Nb10Mo16Ta48W26,10,16,48,26,383.767,164.302,84.333,65.086,65.084,65.08,93.715,237.457,248.459,0.326,2.534,0.769
Nb17Mo4Ta33W46,17,4,33,46,408.946,172.234,91.733,64.9,64.905,64.902,101.593,251.138,268.564,0.322,2.472,0.775
Nb9Mo17Ta62W12,9,17,62,12,340.917,156.037,72.487,65.478,65.464,65.472,79.903,217.664,213.575,0.336,2.724,0.784
