formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb29Mo20Ta29W22,29,20,29,22,375.302,160.273,72.613,65.108,65.111,65.103,85.011,231.949,227.268,0.337,2.728,0.675
Nb32Mo28Ta6W34,32,28,6,34,429.907,176.42,88.484,64.553,64.55,64.553,102.212,260.916,271.219,0.327,2.553,0.698
Nb8Mo34Ta29W29,8,34,29,29,451.8,181.459,105.765,64.462,64.467,64.461,116.686,271.573,306.203,0.312,2.327,0.782
Nb35Mo34Ta15W16,35,34,15,16,395.089,165.523,74.061,64.831,64.839,64.843,88.33,242.045,236.251,0.337,2.74,0.645
Nb31Mo9Ta35W25,31,9,35,25,352.048,156.97,67.276,65.368,65.373,65.368,78.095,221.996,209.695,0.343,2.843,0.69
Nb22Mo25Ta26W27,22,25,26,27,408.468,168.814,85.429,64.807,64.806,64.806,97.85,248.699,259.514,0.326,2.542,0.713
Nb26Mo9Ta34W31,26,9,34,31,372.431,161.832,75.382,65.185,65.192,65.188,86.198,232.031,230.101,0.335,2.692,0.716
Nb27Mo29Ta18W26,27,29,18,26,413.214,170.32,84.624,64.73,64.723,64.722,97.829,251.285,259.775,0.328,2.569,0.697
Nb33Mo35Ta13W19,33,35,13,19,405.742,168.373,78.635,64.737,64.737,64.739,92.78,247.496,247.423,0.333,2.668,0.663
Nb31Mo28Ta10W31,31,28,10,31,422.184,173.64,86.087,64.628,64.628,64.626,99.756,256.488,264.922,0.328,2.571,0.693
Nb16Mo31Ta27W26,16,31,27,26,426.578,173.828,93.608,64.649,64.642,64.649,105.577,258.078,278.724,0.32,2.444,0.741
Nb34Mo28Ta18W20,34,28,18,20,389.085,163.353,73.318,64.922,64.92,64.921,87.203,238.597,233.199,0.337,2.736,0.65
Nb30Mo16Ta20W34,30,16,20,34,399.445,167.354,80.432,64.897,64.899,64.896,93.183,244.717,248.063,0.331,2.626,0.693
Nb31Mo27Ta32W10,31,27,32,10,358.633,155.036,65.372,65.229,65.234,65.237,78.117,222.902,209.838,0.343,2.853,0.642
Nb21Mo25Ta33W21,21,25,33,21,391.177,164.025,80.16,64.971,64.971,64.969,92.189,239.742,245.144,0.33,2.601,0.706
Nb34Mo8Ta33W25,34,8,33,25,347.663,155.839,64.729,65.398,65.404,65.409,75.804,219.781,203.963,0.345,2.899,0.675
Nb15Mo28Ta27W30,15,28,27,30,431.328,175.31,95.911,64.624,64.62,64.623,107.677,260.65,283.931,0.318,2.421,0.749
Nb29Mo18Ta28W25,29,18,28,25,378.648,161.393,73.918,65.083,65.082,65.084,86.276,233.811,230.478,0.336,2.71,0.68
Nb29Mo17Ta35W19,29,17,35,19,357.631,156.575,67.904,65.292,65.29,65.285,79.493,223.594,213.213,0.341,2.813,0.675
Nb19Mo31Ta15W35,19,31,15,35,449.419,181.246,100.902,64.422,64.423,64.423,113.082,270.637,297.772,0.317,2.393,0.753
Nb32Mo5Ta33W30,32,5,33,30,355.268,158.536,68.702,65.355,65.348,65.352,79.347,224.114,212.914,0.342,2.824,0.698
Nb35Mo13Ta34W18,35,13,34,18,340.45,152.845,61.029,65.451,65.451,65.455,72.541,215.38,195.658,0.349,2.969,0.651
Nb29Mo35Ta20W16,29,35,20,16,400.165,166.229,78.532,64.816,64.814,64.817,92.162,244.208,245.591,0.332,2.65,0.671
Nb19Mo16Ta34W31,19,16,34,31,396.164,166.61,84.223,64.961,64.963,64.959,95.352,243.128,252.984,0.327,2.55,0.734
Nb31Mo27Ta9W33,31,27,9,33,424.668,174.554,87.076,64.609,64.608,64.604,100.692,257.926,267.294,0.327,2.562,0.696
Nb19Mo19Ta31W31,19,19,31,31,405.09,168.531,86.543,64.87,64.872,64.869,98.093,247.384,259.923,0.325,2.522,0.732
Nb22Mo29Ta26W23,22,29,26,23,407.809,168.414,84.923,64.799,64.796,64.798,97.461,248.213,258.543,0.326,2.547,0.709
Nb32Mo35Ta11W22,32,35,11,22,414.277,171.045,82.139,64.66,64.661,64.662,96.163,252.122,255.947,0.331,2.622,0.675
Nb5Mo28Ta35W32,5,28,35,32,446.192,179.768,105.235,64.545,64.544,64.544,115.656,268.576,303.415,0.312,2.322,0.79
Nb11Mo23Ta33W33,11,23,33,33,428.536,174.795,97.133,64.677,64.68,64.679,108.105,259.375,284.754,0.317,2.399,0.766
Nb29Mo25Ta26W20,29,25,26,20,383.538,161.882,74.212,65.01,65.008,65.008,87.186,235.767,232.854,0.335,2.704,0.67
Nb17Mo28Ta25W30,17,28,25,30,428.938,174.578,94.327,64.633,64.627,64.629,106.332,259.365,280.645,0.32,2.439,0.742
Nb32Mo33Ta7W28,32,33,7,28,425.802,174.989,86.525,64.563,64.56,64.566,100.427,258.593,266.749,0.328,2.575,0.69
Nb8Mo35Ta29W28,8,35,29,28,451.334,181.231,105.485,64.461,64.463,64.461,116.46,271.265,305.641,0.312,2.329,0.781
Nb30Mo27Ta33W10,30,27,33,10,360.075,156.017,66.109,65.223,65.213,65.222,78.711,224.037,211.378,0.343,2.846,0.648
Nb11Mo30Ta30W29,11,30,30,29,437.167,176.919,99.429,64.585,64.585,64.583,110.748,263.668,291.439,0.316,2.381,0.764
Nb35Mo29Ta20W16,35,29,20,16,379.955,160.67,69.903,65.002,65.003,65.002,83.777,233.765,224.511,0.34,2.79,0.638
Nb26Mo23Ta20W31,26,23,20,31,411.883,170.311,85.222,64.769,64.763,64.764,98.023,250.835,260.179,0.327,2.559,0.706
Nb19Mo32Ta18W31,19,32,18,31,441.076,178.5,97.571,64.494,64.494,64.497,109.9,266.026,289.793,0.318,2.421,0.743
Nb34Mo10Ta24W32,34,10,24,32,374.708,161.677,72.019,65.139,65.137,65.141,84.277,232.687,225.596,0.338,2.761,0.676
Nb28Mo28Ta12W32,28,28,12,32,426.726,174.707,88.981,64.599,64.598,64.596,102.313,258.713,271.189,0.325,2.529,0.706
Nb30Mo29Ta13W28,30,29,13,28,416.735,171.764,84.51,64.679,64.677,64.676,98.087,253.421,260.636,0.329,2.584,0.69
Nb33Mo25Ta25W17,33,25,25,17,372.658,158.858,68.984,65.098,65.094,65.1,82.27,230.125,220.53,0.34,2.797,0.645
Nb26Mo13Ta33W28,26,13,33,28,374.826,161.534,75.184,65.149,65.147,65.153,86.506,232.632,230.897,0.335,2.689,0.705
Nb14Mo30Ta35W21,14,30,35,21,410.011,168.958,88.736,64.807,64.806,64.806,100.327,249.309,265.383,0.323,2.485,0.736
Nb8Mo35Ta31W26,8,35,31,26,445.293,179.301,103.203,64.514,64.516,64.512,114.241,267.965,300.078,0.313,2.346,0.776
Nb31Mo33Ta15W21,31,33,15,21,407.62,168.74,80.405,64.742,64.744,64.743,94.258,248.367,251.019,0.332,2.635,0.673
Nb25Mo31Ta24W20,25,31,24,20,402.648,166.913,81.578,64.825,64.823,64.824,94.565,245.491,251.413,0.329,2.596,0.692
Nb33Mo19Ta16W32,33,19,16,32,400.107,167.202,78.732,64.865,64.864,64.866,92.136,244.837,245.6,0.333,2.657,0.676
Nb28Mo32Ta17W23,28,32,17,23,412.124,169.938,83.384,64.717,64.718,64.718,96.858,250.667,257.418,0.329,2.588,0.689
Nb17Mo31Ta27W25,17,31,27,25,422.82,172.722,91.88,64.678,64.671,64.679,103.967,256.088,274.723,0.321,2.463,0.735
Nb32Mo6Ta35W27,32,6,35,27,349.228,157.06,66.838,65.407,65.406,65.407,77.32,221.116,207.746,0.343,2.86,0.696
Nb33Mo21Ta13W33,33,21,13,33,408.626,169.742,81.269,64.78,64.778,64.779,94.86,249.37,252.555,0.331,2.629,0.68
Nb30Mo7Ta29W34,30,7,29,34,374.06,162.417,74.473,65.17,65.175,65.168,85.748,232.965,229.132,0.336,2.717,0.704
Nb26Mo34Ta35W5,26,34,35,5,366.319,156.385,68.833,65.153,65.15,65.155,81.555,226.363,218.433,0.339,2.776,0.656
Nb23Mo31Ta12W34,23,31,12,34,443.169,179.619,96.914,64.456,64.454,64.457,109.62,267.469,289.334,0.32,2.44,0.735
Nb30Mo10Ta31W29,30,10,31,29,367.268,160.228,71.761,65.218,65.224,65.219,83.131,229.242,222.499,0.338,2.758,0.693
Nb18Mo28Ta33W21,18,28,33,21,401.382,166.613,84.422,64.874,64.876,64.874,96.356,244.869,255.548,0.326,2.541,0.719
Nb33Mo24Ta28W15,33,24,28,15,363.752,156.563,66.476,65.187,65.185,65.183,79.461,225.626,213.338,0.342,2.839,0.642
Nb33Mo33Ta8W26,33,33,8,26,419.353,172.94,83.677,64.616,64.613,64.617,97.743,255.078,260.017,0.33,2.61,0.679
Nb21Mo30Ta26W23,21,30,26,23,411.227,169.396,86.299,64.769,64.767,64.765,98.803,250.006,261.906,0.325,2.53,0.714
Nb26Mo29Ta10W35,26,29,10,35,438.526,178.442,94.173,64.491,64.493,64.491,107.186,265.137,283.372,0.322,2.474,0.724
Nb16Mo28Ta22W34,16,28,22,34,441.666,178.504,99.407,64.526,64.523,64.523,111.23,266.225,292.899,0.317,2.393,0.755
Nb14Mo24Ta28W34,14,24,28,34,432.47,175.712,97.141,64.632,64.631,64.631,108.625,261.298,286.215,0.317,2.405,0.757
Nb16Mo17Ta33W34,16,17,33,34,409.952,170.144,89.675,64.838,64.844,64.84,100.75,250.08,266.466,0.322,2.482,0.748
