formula,Nb,Mo,Ta,W,SFE,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
Nb18Mo32Ta9W41,18,32,9,41,0.8304,Nb18 Mo32 Ta9 W41,Nb0.12023805448153528 Mo0.22073621394322604 Ta0.11709002683001053 W0.5419357047452281 ,Nb0.18Mo0.32Ta0.09W0.41,0.02554151584673811,6.3038579106283965,0.004781724822038278,1.9198,1.0442200092944003,-0.010438667819602366,139.0900576,13908.36576,-16.001170061082657,0.06821898852663223,0.15454499999999996,5.7299999999999995,5.3532,7.923,18.0,2.0,0,16.0,0,112.7109,0.38286116622105465,22.893123,-0.08254008080764948
Nb25Mo53Ta1W21,25,53,1,21,0.8031,Nb25 Mo53 Ta1 W21,Nb0.20286888205910794 Mo0.444125257650462 Ta0.01580459560541079 W0.33720126468501926 ,Nb0.25Mo0.53Ta0.01W0.21,0.01989488100143738,5.300565048308566,0.005562755445812779,1.453,1.0441512979043028,-0.008786624325683265,114.5012738,11449.067379999999,-22.1993044231845,0.06359361270210404,0.140325,5.739999999999999,5.0248,7.4571000000000005,18.0,2.0,0,16.0,0,103.5582,0.3977752771083877,21.089292,-0.0785329276196145
Nb59Mo3Ta28W10,59,3,28,10,1.1207,Nb59 Mo3 Ta28 W10,Nb0.43248965551540663 Mo0.022709059222851557 Ta0.39975113421146635 W0.14505015105027555 ,Nb0.59Mo0.03Ta0.28W0.1,0.0196678583792473,7.664238579278035,0.0039556591177543066,1.2156,1.0437647270244113,-0.00834051295753011,126.74297059999999,12674.23706,-21.56148241320713,0.05833043410035146,0.08136000000000002,5.130000000000001,3.2648,7.828900000000001,18.0,2.0,0,16.0,0,60.108900000000006,0.5949322140806169,16.225682999999997,-0.10190435762655477
Nb39Mo40Ta8W13,39,40,8,13,1.4275,Nb39 Mo40 Ta8 W13,Nb0.320694274303878 Mo0.33965715370140986 Ta0.12812224700667973 W0.2115263249880325 ,Nb0.39Mo0.4Ta0.08W0.13,0.02121792787200029,4.716237871563327,-0.009312972548211687,1.596,1.04400334321755,-0.009985368595860482,112.99251860000001,11298.45186,-22.17982746018836,0.07322547005334666,0.1664250000000001,5.530000000000001,6.2976,7.4853000000000005,18.0,2.0,0,16.0,0,86.3169,0.5024866110338856,23.369883,-0.10461734941441751
Nb32Mo19Ta25W24,32,19,25,24,1.3765,Nb32 Mo19 Ta25 W24,Nb0.21650630138487315 Mo0.13274810773975837 Ta0.3294340853044237 W0.32131150557094473 ,Nb0.32Mo0.19Ta0.25W0.24,0.027178087707662144,5.459166743872003,-0.01652995537376406,2.085,1.0439693772714225,-0.011383856500882684,137.3210116,13731.721160000001,-15.411738126042131,0.07872928176795582,0.17442000000000002,5.43,6.546799999999999,7.8792,18.0,2.0,0,16.0,0,87.87989999999999,0.5178817608194962,25.125963,-0.11493511152024842
Nb13Mo10Ta39W38,13,10,39,38,1.4521,Nb13 Mo10 Ta39 W38,Nb0.07450818661658287 Mo0.05918543131595285 Ta0.4353446472970438 W0.43096173477042043 ,Nb0.13Mo0.1Ta0.39W0.38,0.032186995711698724,4.999454187154563,-0.013046180606943934,2.4166,1.0440237546028666,-0.010229516314201867,162.1027026,16210.07026,-9.874024830112877,0.08226601224023174,0.18510000000000001,5.48,6.8224,8.2071,18.0,2.0,0,16.0,0,101.3724,0.439126492284307,24.056688,-0.09604774913546066
Nb60Mo3Ta9W28,60,3,9,28,1.2646,Nb60 Mo3 Ta9 W28,Nb0.4410722338307353 Mo0.022773715924418077 Ta0.1288572738038052 W0.40729677644104145 ,Nb0.6Mo0.03Ta0.09W0.28,0.02657770800809661,3.8244047328652835,-0.025087364311331975,1.8258,1.0439693772714225,-0.008187939849512006,126.3831372,12638.25372,-11.591498730020723,0.07972214020264969,0.15858,5.3100000000000005,6.5676000000000005,7.967600000000001,18.0,2.0,0,16.0,0,74.97630000000001,0.6803673161767543,25.068627,-0.1537295448220949
Nb43Mo9Ta9W39,43,9,9,39,1.414,Nb43 Mo9 Ta9 W39,Nb0.2925279863175632 Mo0.06322599185099226 Ta0.11924754207144385 W0.5249984797600007 ,Nb0.43Mo0.09Ta0.09W0.39,0.028516226609938577,4.135179197851459,-0.012950744303862165,2.1138000000000003,1.0440965224205654,-0.009673876669113462,136.56905260000002,13656.72526,-11.896423927115212,0.08254805240321414,0.18544500000000003,5.4799999999999995,7.44,8.0689,18.0,2.0,0,16.0,0,92.3844,0.575791906035225,28.260648000000007,-0.13809673503649134
Nb3Mo27Ta50W20,3,27,50,20,1.4128,Nb3 Mo27 Ta50 W20,Nb0.017874296179620205 Mo0.1661214200709883 Ta0.5802106020050104 W0.23579368174438103 ,Nb0.03Mo0.27Ta0.5W0.2,0.02856657663637733,5.171599596876402,-0.01368498904611005,2.1364,1.0439129141739996,-0.009371357111165815,155.93833139999998,15593.293140000002,-11.483812439854164,0.07684444414560343,0.17346000000000006,5.47,5.8864,7.8985,18.0,2.0,0,16.0,0,97.32509999999999,0.36037199372362705,18.600003,-0.05428749641155807
Nb44Mo26Ta17W13,44,26,17,13,1.3051,Nb44 Mo26 Ta17 W13,Nb0.3392895402378709 Mo0.2070357377626602 Ta0.2553140276577582 W0.19836069434171072 ,Nb0.44Mo0.26Ta0.17W0.13,0.022533931054602826,5.248060396360404,-0.01932345097172906,1.6862000000000001,1.043919680080443,-0.010624726333888057,120.4887468,12048.35468,-20.92395754316149,0.07438086019727935,0.15970500000000007,5.390000000000001,6.0788,7.638,18.0,2.0,0,16.0,0,78.15870000000001,0.5488669978152267,23.107226999999998,-0.11303245966693361
Nb29Mo50Ta14W7,29,50,14,7,1.7572,Nb29 Mo50 Ta14 W7,Nb0.2381912585816894 Mo0.42408411097366533 Ta0.22395657525811397 W0.11376805518653127 ,Nb0.29Mo0.5Ta0.14W0.07,0.019899699401008712,4.955952032624716,-0.0064380592822620205,1.4816,1.0439806918978114,-0.009702115050966811,113.1243534,11311.43534,-24.500412029390212,0.07005412332181295,0.1568250000000001,5.57,5.804,7.3623,18.0,2.0,0,16.0,0,89.0901,0.4309050431671316,20.397363,-0.08846719444249176
Nb19Mo18Ta1W62,19,18,1,62,0.819,Nb19 Mo18 Ta1 W62,Nb0.11712569929296328 Mo0.1145843423653179 Ta0.012006227174506324 W0.7562837311672126 ,Nb0.19Mo0.18Ta0.01W0.62,0.023666028065736797,5.638322519879397,-0.0029170546660154816,1.6021999999999998,1.0443674997306631,-0.00803661623344393,150.715291,15071.1691,-14.349027894310455,0.06314651970094272,0.13133999999999996,5.8,4.800000000000001,8.2649,18.0,2.0,0,16.0,0,123.50999999999999,0.3608638357068655,21.1068,-0.07755510077471993
Nb19Mo57Ta8W16,19,57,8,16,0.8337,Nb19 Mo57 Ta8 W16,Nb0.15187541173404956 Mo0.47050354351653945 Ta0.12454658245000429 W0.2530744622994068 ,Nb0.19Mo0.57Ta0.08W0.16,0.020412330728904023,5.880267004645102,0.0048656998924107246,1.4731999999999998,1.0441079198338594,-0.009404946771158018,116.2396426,11622.82426,-22.57205756992744,0.0633710242417227,0.13842000000000002,5.73,4.8424,7.3977,18.0,2.0,0,16.0,0,103.09889999999999,0.3633800181579264,19.090683,-0.07002743636842082
Nb17Mo14Ta53W16,17,14,53,16,1.2825,Nb17 Mo14 Ta53 W16,Nb0.10219899759458341 Mo0.08691203642732206 Ta0.620556808655972 W0.19033215732212264 ,Nb0.17Mo0.14Ta0.53W0.16,0.026301045711804177,6.069619773344475,-0.013777447307208193,1.8758,1.0438117403928482,-0.010028238565117252,154.545261,15454.246099999998,-14.497016219683234,0.07388322061330775,0.14616000000000007,5.300000000000001,5.300000000000001,7.958700000000001,18.0,2.0,0,16.0,0,83.45700000000001,0.4476365668298738,19.299300000000002,-0.08510926355161744
Nb31Mo27Ta10W32,31,27,10,32,1.9161,Nb31 Mo27 Ta10 W32,Nb0.21880525238580453 Mo0.1967949677302763 Ta0.1374687582727704 W0.44693102161114884 ,Nb0.31Mo0.27Ta0.1W0.32,0.0261966806586755,5.181969182013141,-0.005120458318166201,2.018,1.0441124808813973,-0.01090351336363218,131.6337658,13162.83658,-15.888171833925245,0.07636884941513312,0.17778,5.59,6.6192,7.846100000000002,18.0,2.0,0,16.0,0,98.7087,0.48319574291307643,26.169147000000002,-0.10870947008811138
Nb30Mo10Ta18W42,30,10,18,42,1.4708,Nb30 Mo10 Ta18 W42,Nb0.18928380554070345 Mo0.06515479454900402 Ta0.2211936575136554 W0.5243677423966372 ,Nb0.3Mo0.1Ta0.18W0.42,0.03008595988538681,4.739087920815679,-0.010139359648043625,2.268,1.0441079198338594,-0.010512756240829896,147.25133240000002,14724.933239999998,-11.614187962714947,0.08198906184710389,0.1863,5.52,7.2288,8.149,18.0,2.0,0,16.0,0,99.4416,0.5082204174909922,27.377568,-0.12418753856281284
Nb26Mo17Ta35W22,26,17,35,22,1.3331,Nb26 Mo17 Ta35 W22,Nb0.16746617480739495 Mo0.11307246225359212 Ta0.43906594905569846 W0.28039541388331446 ,Nb0.26Mo0.17Ta0.35W0.22,0.027574518648908614,5.716070201458248,-0.019399822670522236,2.093,1.043919680080443,-0.011240674794917388,144.2454168,14424.20168,-14.783474054423284,0.07809508243776342,0.16848000000000002,5.390000000000001,6.2372,7.9206,18.0,2.0,0,16.0,0,87.12270000000001,0.49432272767120206,23.598627000000004,-0.10662051435106361
