VEC mean,APE mean,Electronegativity local mismatch,Shear modulus delta,Shear modulus mean,Mixing enthalpy,Shear modulus strength model,Nb,Mo,Radii gamma,SFE
5.73,0.0047817248220382,0.1545449999999999,0.3828611662210546,112.7109,5.3532,-0.0825400808076494,18,32,1.0442200092944005,0.8304
5.739999999999999,0.0055627554458127,0.140325,0.3977752771083877,103.5582,5.0248,-0.0785329276196145,25,53,1.0441512979043028,0.8031
5.130000000000001,0.0039556591177543,0.08136,0.5949322140806169,60.108900000000006,3.2648,-0.1019043576265547,59,3,1.0437647270244113,1.1207
5.530000000000001,-0.0093129725482116,0.1664250000000001,0.5024866110338856,86.3169,6.2976,-0.1046173494144175,39,40,1.04400334321755,1.4275
5.43,-0.016529955373764,0.17442,0.5178817608194962,87.87989999999999,6.546799999999999,-0.1149351115202484,32,19,1.0439693772714225,1.3765
5.48,-0.0130461806069439,0.1851,0.439126492284307,101.3724,6.8224,-0.0960477491354606,13,10,1.0440237546028666,1.4521
5.3100000000000005,-0.0250873643113319,0.15858,0.6803673161767543,74.97630000000001,6.5676000000000005,-0.1537295448220949,60,3,1.0439693772714225,1.2646
5.48,-0.0129507443038621,0.185445,0.575791906035225,92.3844,7.44,-0.1380967350364913,43,9,1.0440965224205654,1.414
5.47,-0.01368498904611,0.17346,0.360371993723627,97.3251,5.8864,-0.054287496411558,3,27,1.0439129141739996,1.4128
5.390000000000001,-0.019323450971729,0.159705,0.5488669978152267,78.15870000000001,6.0788,-0.1130324596669336,44,26,1.043919680080443,1.3051
5.57,-0.006438059282262,0.1568250000000001,0.4309050431671316,89.0901,5.804,-0.0884671944424917,29,50,1.0439806918978114,1.7572
5.8,-0.0029170546660154,0.1313399999999999,0.3608638357068655,123.51,4.800000000000001,-0.0775551007747199,19,18,1.0443674997306631,0.819
5.73,0.0048656998924107,0.13842,0.3633800181579264,103.0989,4.8424,-0.0700274363684208,19,57,1.0441079198338594,0.8337
5.300000000000001,-0.0137774473072081,0.14616,0.4476365668298738,83.45700000000001,5.300000000000001,-0.0851092635516174,17,14,1.0438117403928482,1.2825
5.59,-0.0051204583181662,0.17778,0.4831957429130764,98.7087,6.6192,-0.1087094700881113,31,27,1.0441124808813973,1.9161
5.52,-0.0101393596480436,0.1863,0.5082204174909922,99.4416,7.2288,-0.1241875385628128,30,10,1.0441079198338594,1.4708
5.390000000000001,-0.0193998226705222,0.16848,0.494322727671202,87.12270000000001,6.2372,-0.1066205143510636,26,17,1.043919680080443,1.3331
5.51,-0.0107250859544589,0.16344,0.4976907236987173,84.25829999999999,6.1856,-0.1031548694151996,39,41,1.0439761651652997,1.3437
5.38,-0.0200575733043062,0.175485,0.6761555237978244,80.8794,7.359999999999999,-0.1585899836903715,60,3,1.0440487343359388,1.3357
5.880000000000001,0.0154921040373164,0.075645,0.2060737558492704,112.2444,2.3392000000000004,-0.0253662482005921,4,79,1.0441444415776373,1.2184
5.79,0.0091283313926223,0.114225,0.2607102078724372,108.1227,3.6924,-0.0386903425317584,6,68,1.0440965224205654,0.8129
5.809999999999999,0.0026824558605188,0.1238399999999999,0.2849953348933745,131.0133,4.336399999999999,-0.0531461275987654,6,11,1.0443813906568131,0.8732
5.44,0.0075867202231989,0.1549650000000001,0.4607379867209372,80.97120000000001,5.7328,-0.0938489207978582,33,39,1.043892632233968,1.3289
5.609999999999999,-0.0036472384632646,0.1608,0.3822631366306613,97.3233,5.6096,-0.074849757004015,17,47,1.0440124119944592,1.7967
5.51,-0.0108174688794233,0.1773,0.4712000505286998,93.5223,6.469200000000001,-0.1029837045792658,26,27,1.0440101443579275,1.4649
5.66,-0.0001353481532506,0.1635,0.4280694926613035,101.6478,5.8552,-0.0906799260811609,25,40,1.044119324685182,1.5839
5.68,0.0012315780483082,0.1670999999999999,0.4057129231455939,110.4144,5.944000000000001,-0.0907284040005951,19,26,1.0441924923739303,1.3206
5.84,0.0125585721592968,0.1181249999999999,0.3213954948383066,122.8632,3.8112,-0.0638277283055654,14,33,1.044332820350028,0.8317
5.259999999999999,0.0187915349531517,0.1252050000000001,0.6257261707752754,62.62379999999998,4.9592,-0.1176007831946506,67,19,1.0438566337824091,1.1804
5.120000000000001,0.0216685369712224,0.07182,0.644565615930436,50.0376,2.9424,-0.1026778394021395,85,6,1.043798294990974,1.1017
5.73,0.0047271320680848,0.1545449999999999,0.2936954570986211,118.01489999999998,4.8568,-0.0444279731647205,1,32,1.0441810397377664,0.791
5.7,0.0026781810148655,0.1616849999999999,0.4142558567739911,117.489,6.279999999999999,-0.0981394899733678,22,9,1.0443005145616735,1.2452
5.18,-0.0031186186401395,0.10206,0.5400334859444211,67.1454,3.9248,-0.0966925279089614,44,8,1.0437647270244113,1.1743
5.209999999999999,0.0010521784412759,0.1186649999999999,0.5858180086832897,69.4833,4.6608,-0.1142550977914228,47,6,1.0438139823066284,1.21
5.220000000000001,0.0031414373485092,0.124125,0.6046111871399172,70.0746,4.924,-0.1213559000214007,49,5,1.043834172575099,1.2151
5.57,-0.0065804566450514,0.1797,0.4336207588113165,101.5101,6.436,-0.0955769527059993,19,25,1.0440714742555814,1.8617
5.430000000000001,0.0005834263683941,0.1500000000000001,0.4042041939302656,82.1919,5.406,-0.0799790197298614,24,41,1.0438521392161042,1.3181
5.56,-0.007248963293559,0.184605,0.5319128596267938,99.2028,7.2928,-0.1266756785690669,38,13,1.0441581569191356,1.6042
5.74,0.0055258841629031,0.14568,0.3807915800226539,107.7222,5.0224,-0.0772392219355451,20,46,1.044171883019941,0.8015
5.41,0.0089573295035138,0.1549050000000001,0.4953750435311377,78.7413,5.791600000000001,-0.1005690568289487,38,34,1.043892632233968,1.2997
5.37,0.0033893842166281,0.1428000000000001,0.4530670538355988,76.2441,5.265999999999999,-0.0898494075224967,34,35,1.043834172575099,1.2776
5.4,-0.0186148578958361,0.168885,0.6215013609453305,78.174,6.688000000000001,-0.1324473922132232,55,19,1.043987484202673,1.3067
5.550000000000001,-0.0080884681081503,0.185985,0.3974644279428029,111.3795,6.94,-0.0823561311064357,7,4,1.0441170431195084,1.7724
5.02,0.0084075922116822,0.013245,0.3934748990466831,46.2726,0.5312,-0.0465443883588732,76,1,1.043688879584867,0.997
5.54,-0.0087625102460818,0.1835999999999999,0.3945524236967794,105.0162,6.4656,-0.0774767162606163,8,18,1.04404418990521,1.8176
5.41,-0.017918475595315,0.1797,0.6509800964934845,83.91329999999999,7.4556,-0.1530372277980991,56,5,1.0440646491687258,1.35
5.49,-0.0122125278265861,0.184065,0.5913528789792123,89.80769999999998,7.3668,-0.1359061376786918,48,14,1.0440965224205654,1.3938
5.24,0.0144383072143815,0.128565,0.6565445166065236,65.9052,5.1648000000000005,-0.1291962881088897,63,9,1.0438701244634294,1.1962
5.529999999999999,-0.00934465971002,0.176025,0.5419949754538025,88.7889,6.7584,-0.1163924392599054,43,30,1.0440578267491385,1.4155
5.51,-0.0108871514531101,0.187065,0.477325325245871,102.5823,7.210800000000001,-0.1167862694392277,22,6,1.0440965224205654,1.4841
5.32,0.0151753713490623,0.147525,0.6106176130086559,71.1156,5.776,-0.1223281620981688,56,19,1.0438993902523712,1.2479
5.95,-0.0035691766813866,0.0641849999999999,0.2026833665474106,134.8875,1.346,-0.0272511927876729,4,34,1.0444324180705598,1.651
5.37,-0.0200322439230597,0.1509000000000001,0.3223234424153255,88.7721,5.079999999999999,-0.0393817128674391,1,29,1.043787098445899,1.3263
5.159999999999999,0.0109764344553246,0.09648,0.6469595752677528,60.0828,3.9168,-0.1171752076713841,66,4,1.043809498768728,1.1406
5.300000000000002,-0.0080176956458122,0.13704,0.4468190470356246,77.98500000000001,4.948,-0.0839101840963413,25,22,1.0437938155054338,1.2565
5.57,-0.0065719464908083,0.177945,0.4251571657598113,100.7061,6.3100000000000005,-0.0914155746397304,18,28,1.044055553201719,1.9055
5.32,0.00816374742477,0.1464,0.5612249756037629,73.86359999999999,5.5936,-0.1122782562701222,46,20,1.0438723739291131,1.2533
5.290000000000001,-0.0265530701864129,0.151665,0.6260535552698869,76.3497,6.1064,-0.1392837160314844,49,4,1.043917424485867,1.2754
5.7,0.0028212070005935,0.1303650000000001,0.2531888347189973,101.529,4.384,-0.0354517102025454,4,67,1.0439942791562915,0.8599
5.140000000000001,0.0124074832985914,0.086925,0.6518863366538329,57.5202,3.5568,-0.1145738231615296,70,3,1.043800535167675,1.1085
5.03,0.0105271353031428,0.018945,0.4149921047887625,46.1199,0.7532000000000001,-0.0496643375865188,78,2,1.0437000127980594,0.9987
5.2,-0.0294930072861788,0.11814,0.4094010136010826,83.232,4.392,-0.0638808986239656,5,2,1.043726761770497,1.2009
5.45,-0.0072079271476914,0.1556250000000001,0.3518816482457985,88.3065,5.368,-0.0607658642534883,11,40,1.0438498923690678,1.3514
5.86,0.0140024238437875,0.0979799999999999,0.2324037942662606,116.4498,2.7576,-0.0311549355977571,3,64,1.0441879104205156,1.593
5.5,-0.011506808042518,0.186285,0.5846440849651153,93.135,7.56,-0.1391677966922864,46,9,1.044126171169409,1.4128
5.800000000000001,0.0098329797407703,0.110685,0.2371297469101708,109.53,3.472,-0.0305682166226068,3,69,1.0440965224205654,0.7393
5.17,-0.0287592972191028,0.10272,0.4080763056273954,79.0821,3.8128,-0.0647763668191322,9,3,1.0436977855821836,1.1768
5.489999999999999,-0.0122550586218262,0.184065,0.5378049769476582,93.5517,7.1316,-0.127047541661035,36,14,1.0440691989301645,1.4248
5.17,0.0235281886201063,0.0957,0.3301594975425986,79.0341,3.3668000000000005,-0.038593696366624,2,9,1.0436555228829434,1.157
5.48,-0.0128010785928623,0.1512450000000001,0.517110455135834,76.0644,5.9936,-0.1084901339911362,50,47,1.043939993601633,1.2953
5.75,0.0061808744342826,0.1427399999999999,0.3169098801513926,128.6175,5.4,-0.0634869108019544,7,3,1.0443513075056128,0.8646
5.22,-0.0179419860258521,0.110085,0.3953356633350774,74.9706,3.911200000000001,-0.065771337397328,19,17,1.0437133821167728,1.208
5.36,0.0180472411893052,0.150525,0.589437443726438,71.5128,5.875200000000001,-0.117727198505669,56,27,1.0439084050314449,1.2644
5.52,-0.0100874271049663,0.18,0.5297902155121478,91.7376,6.857600000000001,-0.1184799429302691,38,24,1.044062374732581,1.4764
5.270000000000001,-0.0073329769526195,0.130545,0.4713175539178826,75.69510000000001,4.780799999999999,-0.088655151755695,29,18,1.043787098445899,1.2369
5.470000000000001,-0.0136742293941043,0.172545,0.3832932394378779,95.3931,5.938000000000001,-0.066891435956843,8,28,1.043919680080443,1.4464
5.61,-0.0037709329869331,0.177705,0.3776920530030532,108.3753,6.132,-0.0753130690006786,9,24,1.0440988013085488,1.8575
5.610000000000001,-0.0036619531409112,0.165825,0.4364905274533631,96.37529999999998,5.9852,-0.0912955866733645,26,42,1.044055553201719,1.9533
5.59,-0.0050242519852278,0.1549050000000001,0.3080653214665354,97.2087,5.2092,-0.0478725379272772,6,52,1.0439422521239734,1.9237
5.7700000000000005,0.0075778724618251,0.1403849999999999,0.30570590620825,127.2681,4.9228000000000005,-0.0587283876242544,6,12,1.0443305108224057,0.8282
5.450000000000001,-0.0151074257604557,0.17586,0.4904059986051819,90.3825,6.492000000000001,-0.1078697817894027,27,21,1.0439716396088097,1.3785
5.74,0.0054815466983029,0.148605,0.3285526617744178,113.0142,4.800800000000001,-0.0616810375500262,9,41,1.044169594588735,0.8121
5.15,-0.0038917546729665,0.09456,0.5740186548111674,66.5955,3.778000000000001,-0.1064257970677126,46,1,1.043766962867673,1.1605
5.4,0.0146209285739009,0.1497600000000001,0.5225713330175726,74.34599999999999,5.744,-0.1058226330632075,47,36,1.043892632233968,1.2856
5.540000000000001,-0.0087517174842158,0.183165,0.4080107903208139,103.7082,6.4936,-0.0843265271112314,11,19,1.0440464619726355,1.8359
5.640000000000001,-0.0015191573732969,0.16224,0.4584101170781849,96.2892,6.0032,-0.095180636021097,32,44,1.044094243829798,1.8011
5.74,0.0054940566072988,0.1519799999999999,0.384504638936576,113.2422,5.284,-0.0829594758500131,19,32,1.0442337839768927,0.8389
5.64,-0.0015748302239027,0.163125,0.3032499802909388,106.3332,5.2384,-0.0408107735464877,1,43,1.0440282937127092,1.2616
5.73,0.0047569059356772,0.1535999999999999,0.3496305183503628,122.7069,5.602399999999999,-0.075842499734995,11,11,1.0443005145616744,0.8144
