T(K)		B(GPa)
0.0		228.1632
10.0		228.163
20.0		228.1609
30.0		228.1515
40.0		228.1273
50.0		228.0814
60.0		228.0107
70.0		227.9162
80.0		227.801
90.0		227.6689
100.0		227.5233
110.0		227.3672
120.0		227.2029
130.0		227.0322
140.0		226.8565
150.0		226.6768
160.0		226.4939
170.0		226.3085
180.0		226.121
190.0		225.9317
200.0		225.741
210.0		225.5492
220.0		225.3562
230.0		225.1625
240.0		224.9679
250.0		224.7727
260.0		224.5769
270.0		224.3806
280.0		224.1838
290.0		223.9866
300.0		223.789
310.0		223.591
320.0		223.3927
330.0		223.1941
340.0		222.9953
350.0		222.7961
360.0		222.5968
370.0		222.3971
380.0		222.1973
390.0		221.9973
400.0		221.797
410.0		221.5966
420.0		221.396
430.0		221.1952
440.0		220.9942
450.0		220.7931
460.0		220.5919
470.0		220.3904
480.0		220.1889
490.0		219.9872
500.0		219.7854
510.0		219.5834
520.0		219.3813
530.0		219.1791
540.0		218.9767
550.0		218.7743
560.0		218.5717
570.0		218.3691
580.0		218.1663
590.0		217.9634
600.0		217.7604
610.0		217.5573
620.0		217.3542
630.0		217.1509
640.0		216.9475
650.0		216.7441
660.0		216.5405
670.0		216.3369
680.0		216.1332
690.0		215.9294
700.0		215.7255
710.0		215.5215
720.0		215.3175
730.0		215.1133
740.0		214.9091
750.0		214.7048
760.0		214.5005
770.0		214.296
780.0		214.0915
790.0		213.8869
800.0		213.6822
810.0		213.4775
820.0		213.2727
830.0		213.0677
840.0		212.8628
850.0		212.6577
860.0		212.4525
870.0		212.2473
880.0		212.042
890.0		211.8366
900.0		211.6311
910.0		211.4255
920.0		211.2199
930.0		211.0141
940.0		210.8083
950.0		210.6023
960.0		210.3963
970.0		210.1902
980.0		209.984
990.0		209.7776
1000.0		209.5712
1010.0		209.3646
1020.0		209.158
1030.0		208.9512
1040.0		208.7443
1050.0		208.5373
1060.0		208.3301
1070.0		208.1229
1080.0		207.9155
1090.0		207.7079
1100.0		207.5002
1110.0		207.2924
1120.0		207.0844
1130.0		206.8763
1140.0		206.668
1150.0		206.4595
1160.0		206.2509
1170.0		206.0421
1180.0		205.8331
1190.0		205.624
1200.0		205.4146
1210.0		205.2051
1220.0		204.9953
1230.0		204.7854
1240.0		204.5752
1250.0		204.3648
1260.0		204.1542
1270.0		203.9434
1280.0		203.7323
1290.0		203.521
1300.0		203.3094
