T(K)		V(bohr^3)
0.0		14696.5274
10.0		14696.5282
20.0		14696.5398
30.0		14696.5906
40.0		14696.7288
50.0		14697.0132
60.0		14697.4929
70.0		14698.1943
80.0		14699.1221
90.0		14700.2665
100.0		14701.6095
110.0		14703.1302
120.0		14704.8077
130.0		14706.6225
140.0		14708.557
150.0		14710.5958
160.0		14712.7259
170.0		14714.9358
180.0		14717.2158
190.0		14719.5577
200.0		14721.9544
210.0		14724.4
220.0		14726.8891
230.0		14729.4173
240.0		14731.9808
250.0		14734.5763
260.0		14737.2009
270.0		14739.852
280.0		14742.5275
290.0		14745.2255
300.0		14747.9441
310.0		14750.682
320.0		14753.4378
330.0		14756.2103
340.0		14758.9985
350.0		14761.8015
360.0		14764.6181
370.0		14767.4482
380.0		14770.2907
390.0		14773.1451
400.0		14776.0109
410.0		14778.8874
420.0		14781.7743
430.0		14784.6712
440.0		14787.5776
450.0		14790.4933
460.0		14793.4179
470.0		14796.3511
480.0		14799.2927
490.0		14802.2424
500.0		14805.1999
510.0		14808.1651
520.0		14811.1377
530.0		14814.1177
540.0		14817.1047
550.0		14820.0987
560.0		14823.0994
570.0		14826.1068
580.0		14829.1207
590.0		14832.141
600.0		14835.1675
610.0		14838.2002
620.0		14841.2389
630.0		14844.2835
640.0		14847.334
650.0		14850.3902
660.0		14853.4521
670.0		14856.5196
680.0		14859.5925
690.0		14862.6709
700.0		14865.7546
710.0		14868.8435
720.0		14871.9377
730.0		14875.037
740.0		14878.1414
750.0		14881.2508
760.0		14884.3652
770.0		14887.4844
780.0		14890.6086
790.0		14893.7375
800.0		14896.8712
810.0		14900.0096
820.0		14903.1526
830.0		14906.3003
840.0		14909.4525
850.0		14912.6093
860.0		14915.7706
870.0		14918.9366
880.0		14922.1069
890.0		14925.2815
900.0		14928.4605
910.0		14931.6439
920.0		14934.8316
930.0		14938.0235
940.0		14941.2197
950.0		14944.4202
960.0		14947.6249
970.0		14950.8337
980.0		14954.0468
990.0		14957.264
1000.0		14960.4853
1010.0		14963.7107
1020.0		14966.9402
1030.0		14970.1739
1040.0		14973.4115
1050.0		14976.6533
1060.0		14979.899
1070.0		14983.1488
1080.0		14986.4027
1090.0		14989.6605
1100.0		14992.9223
1110.0		14996.1881
1120.0		14999.4579
1130.0		15002.7317
1140.0		15006.0094
1150.0		15009.2911
1160.0		15012.5768
1170.0		15015.8664
1180.0		15019.16
1190.0		15022.4576
1200.0		15025.7591
1210.0		15029.0645
1220.0		15032.3739
1230.0		15035.6872
1240.0		15039.0045
1250.0		15042.3258
1260.0		15045.651
1270.0		15048.9802
1280.0		15052.3134
1290.0		15055.6505
1300.0		15058.9916
1310.0		15062.3367
1320.0		15065.6859
1330.0		15069.039
1340.0		15072.3961
1350.0		15075.7573
1360.0		15079.1225
1370.0		15082.4917
1380.0		15085.865
1390.0		15089.2424
1400.0		15092.6238
1410.0		15096.0094
1420.0		15099.3991
1430.0		15102.7929
1440.0		15106.1908
1450.0		15109.5929
1460.0		15112.9992
1470.0		15116.4097
1480.0		15119.8244
1490.0		15123.2434
1500.0		15126.6666
1510.0		15130.0941
1520.0		15133.5259
1530.0		15136.962
1540.0		15140.4024
1550.0		15143.8473
1560.0		15147.2965
1570.0		15150.7502
1580.0		15154.2083
1590.0		15157.6709
1600.0		15161.138
1610.0		15164.6096
1620.0		15168.0857
1630.0		15171.5665
1640.0		15175.0519
1650.0		15178.5419
1660.0		15182.0367
1670.0		15185.5361
1680.0		15189.0403
1690.0		15192.5493
1700.0		15196.0631
1710.0		15199.5817
1720.0		15203.1052
1730.0		15206.6337
1740.0		15210.1671
1750.0		15213.7053
1760.0		15217.2488
1770.0		15220.7973
1780.0		15224.351
1790.0		15227.9098
1800.0		15231.4738
1810.0		15235.0431
1820.0		15238.6176
1830.0		15242.1974
1840.0		15245.7826
1850.0		15249.3732
1860.0		15252.9693
1870.0		15256.5709
1880.0		15260.178
1890.0		15263.7907
1900.0		15267.409
1910.0		15271.033
1920.0		15274.6627
1930.0		15278.2983
1940.0		15281.9396
1950.0		15285.5868
1960.0		15289.24
1970.0		15292.8991
1980.0		15296.5642
1990.0		15300.2354
2000.0		15303.9128
2010.0		15307.5963
2020.0		15311.2861
2030.0		15314.9821
2040.0		15318.6845
2050.0		15322.3932
2060.0		15326.1084
2070.0		15329.8302
2080.0		15333.5584
2090.0		15337.2933
2100.0		15341.0348
2110.0		15344.7831
2120.0		15348.5381
2130.0		15352.2999
2140.0		15356.0686
2150.0		15359.8446
2160.0		15363.6273
2170.0		15367.4171
2180.0		15371.214
2190.0		15375.0181
2200.0		15378.8295
2210.0		15382.6481
2220.0		15386.4741
2230.0		15390.3075
2240.0		15394.1485
