T(K)		B(GPa)
0.0		231.9915
10.0		231.9918
20.0		231.9959
30.0		232.0075
40.0		232.0161
50.0		232.0049
60.0		231.9641
70.0		231.8915
80.0		231.7888
90.0		231.6591
100.0		231.5064
110.0		231.334
120.0		231.145
130.0		230.9419
140.0		230.7269
150.0		230.5016
160.0		230.2674
170.0		230.0256
180.0		229.7769
190.0		229.5222
200.0		229.2621
210.0		228.997
220.0		228.7275
230.0		228.4539
240.0		228.1765
250.0		227.8956
260.0		227.6113
270.0		227.3238
280.0		227.0334
290.0		226.74
300.0		226.4437
310.0		226.1448
320.0		225.8432
330.0		225.5389
340.0		225.2321
350.0		224.9227
360.0		224.6108
370.0		224.2964
380.0		223.9796
390.0		223.6603
400.0		223.3386
410.0		223.0146
420.0		222.6882
430.0		222.3595
440.0		222.0284
450.0		221.6951
460.0		221.3595
470.0		221.0218
480.0		220.6818
490.0		220.3396
500.0		219.9952
510.0		219.6488
520.0		219.3002
530.0		218.9495
540.0		218.5968
550.0		218.242
560.0		217.8852
570.0		217.5264
580.0		217.1656
590.0		216.8028
600.0		216.4381
610.0		216.0714
620.0		215.7029
630.0		215.3324
640.0		214.96
650.0		214.5858
660.0		214.2097
670.0		213.8317
680.0		213.4519
690.0		213.0703
700.0		212.6869
710.0		212.3017
720.0		211.9147
730.0		211.5259
740.0		211.1353
750.0		210.743
760.0		210.3489
770.0		209.9531
780.0		209.5555
790.0		209.1563
800.0		208.7553
810.0		208.3525
820.0		207.9481
830.0		207.542
840.0		207.1342
850.0		206.7247
860.0		206.3135
870.0		205.9007
880.0		205.4862
890.0		205.07
900.0		204.6522
910.0		204.2328
920.0		203.8117
930.0		203.3889
940.0		202.9646
950.0		202.5386
960.0		202.111
970.0		201.6818
980.0		201.251
990.0		200.8186
1000.0		200.3846
1010.0		199.949
1020.0		199.5119
1030.0		199.0732
1040.0		198.6329
1050.0		198.191
1060.0		197.7476
1070.0		197.3027
1080.0		196.8562
1090.0		196.4082
1100.0		195.9587
1110.0		195.5076
1120.0		195.0551
1130.0		194.601
1140.0		194.1455
1150.0		193.6884
1160.0		193.2299
1170.0		192.7699
1180.0		192.3085
1190.0		191.8456
1200.0		191.3812
1210.0		190.9154
1220.0		190.4482
1230.0		189.9796
1240.0		189.5095
1250.0		189.0381
1260.0		188.5653
1270.0		188.0911
1280.0		187.6155
1290.0		187.1386
1300.0		186.6604
1310.0		186.1808
1320.0		185.6999
1330.0		185.2177
1340.0		184.7342
1350.0		184.2494
1360.0		183.7633
1370.0		183.276
1380.0		182.7874
1390.0		182.2977
1400.0		181.8067
1410.0		181.3145
1420.0		180.8211
1430.0		180.3266
1440.0		179.8309
1450.0		179.3341
1460.0		178.8362
1470.0		178.3372
1480.0		177.8371
1490.0		177.3359
1500.0		176.8337
1510.0		176.3305
1520.0		175.8263
1530.0		175.3211
1540.0		174.815
1550.0		174.3079
1560.0		173.7999
1570.0		173.291
1580.0		172.7813
1590.0		172.2707
1600.0		171.7593
1610.0		171.2471
1620.0		170.7341
1630.0		170.2205
1640.0		169.7061
1650.0		169.191
1660.0		168.6753
1670.0		168.1589
1680.0		167.642
1690.0		167.1245
1700.0		166.6065
1710.0		166.088
1720.0		165.5691
1730.0		165.0497
1740.0		164.5299
1750.0		164.0098
1760.0		163.4894
1770.0		162.9687
1780.0		162.4478
1790.0		161.9267
1800.0		161.4054
1810.0		160.884
1820.0		160.3626
1830.0		159.8411
1840.0		159.3197
1850.0		158.7984
1860.0		158.2771
1870.0		157.7561
1880.0		157.2353
1890.0		156.7147
1900.0		156.1945
1910.0		155.6747
1920.0		155.1553
1930.0		154.6364
1940.0		154.118
1950.0		153.6003
1960.0		153.0832
1970.0		152.5669
1980.0		152.0514
1990.0		151.5367
2000.0		151.023
2010.0		150.5103
