T(K)		V(bohr^3)
0.0		14701.9778
10.0		14701.9785
20.0		14701.9895
30.0		14702.0353
40.0		14702.1526
50.0		14702.3877
60.0		14702.7836
70.0		14703.367
80.0		14704.1459
90.0		14705.1138
100.0		14706.2567
110.0		14707.557
120.0		14708.9971
130.0		14710.56
140.0		14712.2308
150.0		14713.996
160.0		14715.8443
170.0		14717.7657
180.0		14719.7518
190.0		14721.7953
200.0		14723.8901
210.0		14726.0308
220.0		14728.2129
230.0		14730.4324
240.0		14732.6859
250.0		14734.9705
260.0		14737.2837
270.0		14739.623
280.0		14741.9866
290.0		14744.3728
300.0		14746.7798
310.0		14749.2065
320.0		14751.6516
330.0		14754.1139
340.0		14756.5926
350.0		14759.0868
360.0		14761.5958
370.0		14764.1186
380.0		14766.6551
390.0		14769.2045
400.0		14771.7664
410.0		14774.3403
420.0		14776.9259
430.0		14779.5229
440.0		14782.1309
450.0		14784.7498
460.0		14787.3792
470.0		14790.019
480.0		14792.6691
490.0		14795.3292
500.0		14797.9993
510.0		14800.6791
520.0		14803.3687
530.0		14806.0679
540.0		14808.7767
550.0		14811.495
560.0		14814.2227
570.0		14816.9598
580.0		14819.7063
590.0		14822.4621
600.0		14825.2272
610.0		14828.0016
620.0		14830.7853
630.0		14833.5783
640.0		14836.3806
650.0		14839.1922
660.0		14842.0131
670.0		14844.8433
680.0		14847.6828
690.0		14850.5317
700.0		14853.39
710.0		14856.2577
720.0		14859.1349
730.0		14862.0215
740.0		14864.9176
750.0		14867.8233
760.0		14870.7385
770.0		14873.6634
780.0		14876.598
790.0		14879.5423
800.0		14882.4963
810.0		14885.4602
820.0		14888.434
830.0		14891.4177
840.0		14894.4114
850.0		14897.4151
860.0		14900.4289
870.0		14903.4529
880.0		14906.4871
890.0		14909.5318
900.0		14912.5868
910.0		14915.6521
920.0		14918.7279
930.0		14921.8143
940.0		14924.9114
950.0		14928.0191
960.0		14931.1377
970.0		14934.2671
980.0		14937.4075
990.0		14940.5588
1000.0		14943.7213
1010.0		14946.895
1020.0		14950.0799
1030.0		14953.2762
1040.0		14956.4839
1050.0		14959.7032
1060.0		14962.934
1070.0		14966.1766
1080.0		14969.4309
1090.0		14972.6971
1100.0		14975.9753
1110.0		14979.2656
1120.0		14982.5681
1130.0		14985.8828
1140.0		14989.2099
1150.0		14992.5494
1160.0		14995.9015
1170.0		14999.2662
1180.0		15002.6438
1190.0		15006.0342
1200.0		15009.4376
1210.0		15012.8541
1220.0		15016.2837
1230.0		15019.7267
1240.0		15023.1831
1250.0		15026.6531
1260.0		15030.1366
1270.0		15033.634
1280.0		15037.1452
1290.0		15040.6704
1300.0		15044.2098
1310.0		15047.7633
1320.0		15051.3313
1330.0		15054.9137
1340.0		15058.5107
1350.0		15062.1223
1360.0		15065.7491
1370.0		15069.3907
1380.0		15073.0474
1390.0		15076.7194
1400.0		15080.4068
1410.0		15084.1097
1420.0		15087.8282
1430.0		15091.5626
1440.0		15095.3129
1450.0		15099.0792
1460.0		15102.8618
1470.0		15106.6607
1480.0		15110.4762
1490.0		15114.3083
1500.0		15118.1572
1510.0		15122.023
1520.0		15125.9059
1530.0		15129.8061
1540.0		15133.7237
1550.0		15137.6588
1560.0		15141.6117
1570.0		15145.5824
1580.0		15149.5712
1590.0		15153.5781
1600.0		15157.6034
1610.0		15161.6472
1620.0		15165.7097
1630.0		15169.791
1640.0		15173.8913
1650.0		15178.0108
1660.0		15182.1497
1670.0		15186.3081
1680.0		15190.4861
1690.0		15194.684
1700.0		15198.902
1710.0		15203.1402
1720.0		15207.3988
1730.0		15211.6779
1740.0		15215.9778
1750.0		15220.2984
1760.0		15224.6404
1770.0		15229.0037
1780.0		15233.3884
1790.0		15237.7948
1800.0		15242.2231
1810.0		15246.6734
1820.0		15251.1458
1830.0		15255.6408
1840.0		15260.1583
1850.0		15264.6986
1860.0		15269.2618
1870.0		15273.8483
1880.0		15278.4581
1890.0		15283.0915
1900.0		15287.7486
1910.0		15292.4296
1920.0		15297.1348
1930.0		15301.8644
1940.0		15306.6184
1950.0		15311.3972
1960.0		15316.2008
1970.0		15321.0296
1980.0		15325.8836
1990.0		15330.7631
2000.0		15335.6683
2010.0		15340.5994
2020.0		15345.5565
2030.0		15350.5398
2040.0		15355.5495
2050.0		15360.5862
2060.0		15365.6495
2070.0		15370.7397
2080.0		15375.8571
2090.0		15381.0018
2100.0		15386.1741
2110.0		15391.3741
2120.0		15396.6019
2130.0		15401.8578
2140.0		15407.1419
2150.0		15412.4544
2160.0		15417.7954
2170.0		15423.1651
2180.0		15428.5636
2190.0		15433.9912
2200.0		15439.4479
2210.0		15444.9339
2220.0		15450.4493
2230.0		15455.9943
2240.0		15461.5689
2250.0		15467.1734
2260.0		15472.8077
2270.0		15478.4721
2280.0		15484.1666
2290.0		15489.8914
2300.0		15495.6464
2310.0		15501.4318
2320.0		15507.2477
2330.0		15513.094
2340.0		15518.971
2350.0		15524.8786
2360.0		15530.8169
2370.0		15536.7858
2380.0		15542.7855
2390.0		15548.8158
2400.0		15554.8769
2410.0		15560.9686
2420.0		15567.0911
2430.0		15573.2441
2440.0		15579.4277
2450.0		15585.6419
2460.0		15591.8865
2470.0		15598.1611
2480.0		15604.4663
2490.0		15610.8017
2500.0		15617.167
2510.0		15623.5622
2520.0		15629.9871
2530.0		15636.4414
2540.0		15642.9251
2550.0		15649.4379
2560.0		15655.9795
2570.0		15662.5498
2580.0		15669.1484
2590.0		15675.7752
2600.0		15682.4297
2610.0		15689.1118
2620.0		15695.821
2630.0		15702.557
2640.0		15709.3194
2650.0		15716.108
2660.0		15722.9222
2670.0		15729.7616
2680.0		15736.6259
2690.0		15743.5144
2700.0		15750.4269
2710.0		15757.3627
2720.0		15764.3214
2730.0		15771.3025
2740.0		15778.3053
2750.0		15785.3294
2760.0		15792.3741
2770.0		15799.4388
2780.0		15806.523
2790.0		15813.626
2800.0		15820.7471
2810.0		15827.8857
2820.0		15835.0412
2830.0		15842.2127
2840.0		15849.3997
2850.0		15856.6014
2860.0		15863.8171
2870.0		15871.046
2880.0		15878.2874
2890.0		15885.5405
2900.0		15892.8045
2910.0		15900.0787
2920.0		15907.3623
2930.0		15914.6545
2940.0		15921.9545
2950.0		15929.2614
2960.0		15936.5746
2970.0		15943.893
2980.0		15951.2161
2990.0		15958.5428
3000.0		15965.872
