T(K)		V(bohr^3)
0.0		14704.0946
10.0		14704.0955
20.0		14704.1079
30.0		14704.1606
40.0		14704.2966
50.0		14704.5648
60.0		14705.0062
70.0		14705.6431
80.0		14706.4801
90.0		14707.5088
100.0		14708.7137
110.0		14710.0768
120.0		14711.5796
130.0		14713.2049
140.0		14714.9374
150.0		14716.7638
160.0		14718.6727
170.0		14720.6542
180.0		14722.6999
190.0		14724.8025
200.0		14726.9559
210.0		14729.1546
220.0		14731.3941
230.0		14733.6705
240.0		14735.9803
250.0		14738.3206
260.0		14740.6888
270.0		14743.0827
280.0		14745.5002
290.0		14747.9398
300.0		14750.3997
310.0		14752.8787
320.0		14755.3756
330.0		14757.8894
340.0		14760.419
350.0		14762.9634
360.0		14765.5223
370.0		14768.0949
380.0		14770.6804
390.0		14773.2784
400.0		14775.8883
410.0		14778.5097
420.0		14781.1423
430.0		14783.7855
440.0		14786.4393
450.0		14789.1031
460.0		14791.7768
470.0		14794.4601
480.0		14797.1528
490.0		14799.8546
500.0		14802.5655
510.0		14805.2852
520.0		14808.0136
530.0		14810.7506
540.0		14813.496
550.0		14816.2497
560.0		14819.0116
570.0		14821.7816
580.0		14824.5596
590.0		14827.3456
600.0		14830.1395
610.0		14832.9413
620.0		14835.7508
630.0		14838.568
640.0		14841.393
650.0		14844.2255
660.0		14847.0657
670.0		14849.9135
680.0		14852.7689
690.0		14855.6318
700.0		14858.5022
710.0		14861.3802
720.0		14864.2656
730.0		14867.1586
740.0		14870.0591
750.0		14872.9671
760.0		14875.8826
770.0		14878.8056
780.0		14881.7361
790.0		14884.6741
800.0		14887.6197
810.0		14890.5729
820.0		14893.5336
830.0		14896.5019
840.0		14899.4778
850.0		14902.4613
860.0		14905.4525
870.0		14908.4513
880.0		14911.4578
890.0		14914.4724
900.0		14917.4944
910.0		14920.5243
920.0		14923.5619
930.0		14926.6075
940.0		14929.6609
950.0		14932.7222
960.0		14935.7915
970.0		14938.8688
980.0		14941.9541
990.0		14945.0475
1000.0		14948.149
1010.0		14951.2586
1020.0		14954.3764
1030.0		14957.5025
1040.0		14960.6369
1050.0		14963.7796
1060.0		14966.9306
1070.0		14970.0901
1080.0		14973.258
1090.0		14976.4345
1100.0		14979.6195
1110.0		14982.8131
1120.0		14986.0154
1130.0		14989.2264
1140.0		14992.4462
1150.0		14995.6748
1160.0		14998.9123
1170.0		15002.1587
1180.0		15005.4141
1190.0		15008.6786
1200.0		15011.9521
1210.0		15015.2348
1220.0		15018.5267
1230.0		15021.8279
1240.0		15025.1384
1250.0		15028.4583
1260.0		15031.7876
1270.0		15035.1265
1280.0		15038.4749
1290.0		15041.833
1300.0		15045.2008
1310.0		15048.5783
1320.0		15051.9657
1330.0		15055.363
1340.0		15058.7703
1350.0		15062.1874
1360.0		15065.6149
1370.0		15069.0525
1380.0		15072.5002
1390.0		15075.9583
1400.0		15079.4268
1410.0		15082.9057
1420.0		15086.3951
1430.0		15089.8952
1440.0		15093.4058
1450.0		15096.9273
1460.0		15100.4595
1470.0		15104.0026
1480.0		15107.5567
1490.0		15111.1218
1500.0		15114.6981
1510.0		15118.2855
1520.0		15121.8842
1530.0		15125.4942
1540.0		15129.1157
1550.0		15132.7487
1560.0		15136.3932
1570.0		15140.0495
1580.0		15143.7175
1590.0		15147.3973
1600.0		15151.0891
1610.0		15154.7928
1620.0		15158.5086
1630.0		15162.2366
1640.0		15165.9769
1650.0		15169.7295
1660.0		15173.4946
1670.0		15177.2721
1680.0		15181.0623
1690.0		15184.8652
1700.0		15188.6809
1710.0		15192.5094
1720.0		15196.3509
1730.0		15200.2055
1740.0		15204.0732
1750.0		15207.9542
1760.0		15211.8485
1770.0		15215.7563
1780.0		15219.6773
1790.0		15223.6123
1800.0		15227.561
1810.0		15231.5234
1820.0		15235.4998
1830.0		15239.4903
1840.0		15243.4948
1850.0		15247.5135
1860.0		15251.5466
1870.0		15255.594
1880.0		15259.656
1890.0		15263.7326
1900.0		15267.8239
1910.0		15271.93
1920.0		15276.0511
1930.0		15280.1872
1940.0		15284.3384
1950.0		15288.5049
1960.0		15292.6868
1970.0		15296.8841
1980.0		15301.0969
1990.0		15305.3254
2000.0		15309.5697
2010.0		15313.8299
2020.0		15318.1061
2030.0		15322.3984
2040.0		15326.7069
2050.0		15331.0317
2060.0		15335.373
2070.0		15339.7308
2080.0		15344.1053
2090.0		15348.4965
2100.0		15352.9046
2110.0		15357.3297
2120.0		15361.7722
2130.0		15366.2317
2140.0		15370.7086
2150.0		15375.2029
2160.0		15379.7147
2170.0		15384.2443
2180.0		15388.7916
2190.0		15393.3569
2200.0		15397.9402
2210.0		15402.5416
2220.0		15407.1613
2230.0		15411.7994
2240.0		15416.4559
2250.0		15421.1311
2260.0		15425.825
2270.0		15430.5377
2280.0		15435.2694
2290.0		15440.0201
2300.0		15444.7901
2310.0		15449.5793
2320.0		15454.388
2330.0		15459.2161
2340.0		15464.064
2350.0		15468.9315
2360.0		15473.819
2370.0		15478.7264
2380.0		15483.6539
2390.0		15488.6017
2400.0		15493.5697
2410.0		15498.5582
2420.0		15503.5672
2430.0		15508.5969
2440.0		15513.6473
2450.0		15518.7186
2460.0		15523.8108
2470.0		15528.9242
2480.0		15534.0587
2490.0		15539.2144
2500.0		15544.3916
2510.0		15549.5902
2520.0		15554.8105
2530.0		15560.0524
2540.0		15565.3161
2550.0		15570.6016
2560.0		15575.9092
2570.0		15581.2387
2580.0		15586.5904
2590.0		15591.9644
2600.0		15597.3607
2610.0		15602.7793
2620.0		15608.2205
2630.0		15613.6842
2640.0		15619.1705
2650.0		15624.6796
2660.0		15630.2114
2670.0		15635.7661
2680.0		15641.3437
2690.0		15646.9443
2700.0		15652.5676
2710.0		15658.2144
2720.0		15663.8843
2730.0		15669.5774
2740.0		15675.2937
2750.0		15681.0334
2760.0		15686.7963
2770.0		15692.5826
2780.0		15698.3923
2790.0		15704.2254
2800.0		15710.082
2810.0		15715.962
2820.0		15721.8655
2830.0		15727.7925
2840.0		15733.743
2850.0		15739.717
2860.0		15745.7146
2870.0		15751.7356
2880.0		15757.78
2890.0		15763.848
2900.0		15769.9394
2910.0		15776.0542
2920.0		15782.1924
2930.0		15788.3539
2940.0		15794.5387
2950.0		15800.7467
2960.0		15806.9779
2970.0		15813.2323
2980.0		15819.5096
2990.0		15825.81
3000.0		15832.1332
