T(K)		B(GPa)
0.0		230.109
10.0		230.109
20.0		230.109
30.0		230.1076
40.0		230.0988
50.0		230.0738
60.0		230.0263
70.0		229.954
80.0		229.8581
90.0		229.7411
100.0		229.6059
110.0		229.4554
120.0		229.2922
130.0		229.1186
140.0		228.9363
150.0		228.7469
160.0		228.5514
170.0		228.3503
180.0		228.1442
190.0		227.9333
200.0		227.7179
210.0		227.4982
220.0		227.2747
230.0		227.0477
240.0		226.8176
250.0		226.5847
260.0		226.3494
270.0		226.1118
280.0		225.8722
290.0		225.6305
300.0		225.387
310.0		225.1417
320.0		224.8948
330.0		224.6462
340.0		224.396
350.0		224.1443
360.0		223.8912
370.0		223.6366
380.0		223.3807
390.0		223.1234
400.0		222.8648
410.0		222.6049
420.0		222.3437
430.0		222.0813
440.0		221.8177
450.0		221.5529
460.0		221.2869
470.0		221.0197
480.0		220.7514
490.0		220.4819
500.0		220.2113
510.0		219.9396
520.0		219.6668
530.0		219.3929
540.0		219.1179
550.0		218.8418
560.0		218.5647
570.0		218.2864
580.0		218.0072
590.0		217.7268
600.0		217.4455
610.0		217.163
620.0		216.8796
630.0		216.5951
640.0		216.3095
650.0		216.023
660.0		215.7354
670.0		215.4468
680.0		215.1572
690.0		214.8665
700.0		214.5749
710.0		214.2822
720.0		213.9886
730.0		213.6939
740.0		213.3982
750.0		213.1016
760.0		212.8039
770.0		212.5052
780.0		212.2056
790.0		211.905
800.0		211.6033
810.0		211.3007
820.0		210.9971
830.0		210.6926
840.0		210.387
850.0		210.0805
860.0		209.773
870.0		209.4645
880.0		209.155
890.0		208.8446
900.0		208.5332
910.0		208.2208
920.0		207.9075
930.0		207.5932
940.0		207.278
950.0		206.9618
960.0		206.6446
970.0		206.3265
980.0		206.0074
990.0		205.6874
1000.0		205.3664
1010.0		205.0445
1020.0		204.7216
1030.0		204.3978
1040.0		204.073
1050.0		203.7473
1060.0		203.4207
1070.0		203.0931
1080.0		202.7646
1090.0		202.4352
1100.0		202.1049
1110.0		201.7736
1120.0		201.4414
1130.0		201.1082
1140.0		200.7742
1150.0		200.4393
1160.0		200.1034
1170.0		199.7666
1180.0		199.4289
1190.0		199.0903
1200.0		198.7509
1210.0		198.4105
1220.0		198.0692
1230.0		197.727
1240.0		197.384
1250.0		197.04
1260.0		196.6952
1270.0		196.3495
1280.0		196.0029
1290.0		195.6555
1300.0		195.3072
1310.0		194.958
1320.0		194.6079
1330.0		194.257
1340.0		193.9053
1350.0		193.5527
1360.0		193.1993
1370.0		192.845
1380.0		192.4899
1390.0		192.1339
1400.0		191.7772
1410.0		191.4196
1420.0		191.0612
1430.0		190.702
1440.0		190.3419
1450.0		189.9811
1460.0		189.6195
1470.0		189.2571
1480.0		188.8939
1490.0		188.5299
1500.0		188.1651
1510.0		187.7996
1520.0		187.4333
1530.0		187.0663
1540.0		186.6985
1550.0		186.3299
1560.0		185.9606
1570.0		185.5906
1580.0		185.2198
1590.0		184.8484
1600.0		184.4762
1610.0		184.1033
1620.0		183.7297
1630.0		183.3554
1640.0		182.9804
1650.0		182.6048
1660.0		182.2285
1670.0		181.8515
1680.0		181.4738
1690.0		181.0955
1700.0		180.7166
1710.0		180.337
1720.0		179.9569
1730.0		179.5761
1740.0		179.1946
1750.0		178.8126
1760.0		178.43
1770.0		178.0469
1780.0		177.6631
1790.0		177.2788
1800.0		176.894
1810.0		176.5086
1820.0		176.1226
1830.0		175.7362
1840.0		175.3492
1850.0		174.9618
1860.0		174.5738
1870.0		174.1854
1880.0		173.7965
1890.0		173.4071
1900.0		173.0173
1910.0		172.6271
1920.0		172.2365
1930.0		171.8454
1940.0		171.454
1950.0		171.0621
1960.0		170.6699
1970.0		170.2773
1980.0		169.8844
1990.0		169.4912
2000.0		169.0976
2010.0		168.7037
2020.0		168.3096
2030.0		167.9151
2040.0		167.5205
2050.0		167.1255
2060.0		166.7303
2070.0		166.335
2080.0		165.9394
2090.0		165.5436
2100.0		165.1477
2110.0		164.7516
2120.0		164.3553
2130.0		163.959
2140.0		163.5625
