T(K)		B(GPa)
0.0		230.2793
10.0		230.2791
20.0		230.2768
30.0		230.2667
40.0		230.2401
50.0		230.1893
60.0		230.1107
70.0		230.0051
80.0		229.8758
90.0		229.7267
100.0		229.5617
110.0		229.3839
120.0		229.1961
130.0		229.0002
140.0		228.7979
150.0		228.5904
160.0		228.3787
170.0		228.1635
180.0		227.9453
190.0		227.7247
200.0		227.502
210.0		227.2774
220.0		227.0513
230.0		226.8238
240.0		226.595
250.0		226.3651
260.0		226.1342
270.0		225.9023
280.0		225.6696
290.0		225.436
300.0		225.2016
310.0		224.9664
320.0		224.7305
330.0		224.4939
340.0		224.2567
350.0		224.0187
360.0		223.7801
370.0		223.5409
380.0		223.3009
390.0		223.0604
400.0		222.8191
410.0		222.5773
420.0		222.3347
430.0		222.0915
440.0		221.8476
450.0		221.603
460.0		221.3578
470.0		221.1118
480.0		220.8652
490.0		220.6178
500.0		220.3697
510.0		220.1208
520.0		219.8712
530.0		219.6208
540.0		219.3696
550.0		219.1177
560.0		218.8649
570.0		218.6113
580.0		218.3568
590.0		218.1015
600.0		217.8453
610.0		217.5882
620.0		217.3301
630.0		217.0712
640.0		216.8113
650.0		216.5505
660.0		216.2886
670.0		216.0258
680.0		215.7619
690.0		215.4971
700.0		215.2311
710.0		214.9641
720.0		214.696
730.0		214.4268
740.0		214.1565
750.0		213.885
760.0		213.6124
770.0		213.3386
780.0		213.0636
790.0		212.7874
800.0		212.5099
810.0		212.2312
820.0		211.9512
830.0		211.67
840.0		211.3874
850.0		211.1035
860.0		210.8183
870.0		210.5317
880.0		210.2438
890.0		209.9544
900.0		209.6637
910.0		209.3716
920.0		209.078
930.0		208.7829
940.0		208.4864
950.0		208.1885
960.0		207.889
970.0		207.588
980.0		207.2856
990.0		206.9816
1000.0		206.676
1010.0		206.3689
1020.0		206.0603
1030.0		205.7501
1040.0		205.4383
1050.0		205.1249
1060.0		204.8099
1070.0		204.4933
1080.0		204.1752
1090.0		203.8554
1100.0		203.534
1110.0		203.211
1120.0		202.8863
1130.0		202.5601
1140.0		202.2322
1150.0		201.9027
1160.0		201.5715
1170.0		201.2388
1180.0		200.9044
1190.0		200.5684
1200.0		200.2308
1210.0		199.8916
1220.0		199.5508
1230.0		199.2084
1240.0		198.8644
1250.0		198.5189
1260.0		198.1718
1270.0		197.8231
1280.0		197.4729
1290.0		197.1212
1300.0		196.768
1310.0		196.4133
1320.0		196.0572
1330.0		195.6996
1340.0		195.3405
1350.0		194.9801
1360.0		194.6183
1370.0		194.2551
1380.0		193.8906
1390.0		193.5247
1400.0		193.1576
1410.0		192.7892
1420.0		192.4196
1430.0		192.0488
1440.0		191.6769
1450.0		191.3038
1460.0		190.9296
1470.0		190.5543
1480.0		190.178
1490.0		189.8007
1500.0		189.4225
1510.0		189.0433
1520.0		188.6633
1530.0		188.2824
1540.0		187.9007
1550.0		187.5183
1560.0		187.1351
1570.0		186.7513
1580.0		186.3668
1590.0		185.9817
1600.0		185.5962
1610.0		185.2101
1620.0		184.8235
1630.0		184.4366
1640.0		184.0493
1650.0		183.6617
1660.0		183.2738
1670.0		182.8858
1680.0		182.4975
1690.0		182.1092
1700.0		181.7208
1710.0		181.3323
1720.0		180.9439
1730.0		180.5556
1740.0		180.1675
1750.0		179.7795
1760.0		179.3917
1770.0		179.0043
1780.0		178.6172
1790.0		178.2304
1800.0		177.8442
1810.0		177.4584
1820.0		177.0731
1830.0		176.6885
1840.0		176.3045
1850.0		175.9212
1860.0		175.5386
1870.0		175.1568
1880.0		174.7759
1890.0		174.3959
1900.0		174.0168
1910.0		173.6387
1920.0		173.2617
1930.0		172.8858
1940.0		172.511
1950.0		172.1374
1960.0		171.7651
