T(K)		V(bohr^3)
0.0		14696.6646
10.0		14696.6653
20.0		14696.6765
30.0		14696.7247
40.0		14696.8537
50.0		14697.1156
60.0		14697.5543
70.0		14698.194
80.0		14699.0395
90.0		14700.0817
100.0		14701.3045
110.0		14702.6887
120.0		14704.2149
130.0		14705.8648
140.0		14707.6222
150.0		14709.4727
160.0		14711.4039
170.0		14713.4056
180.0		14715.4691
190.0		14717.5876
200.0		14719.7557
210.0		14721.9692
220.0		14724.2246
230.0		14726.5188
240.0		14728.8491
250.0		14731.2129
260.0		14733.6081
270.0		14736.0332
280.0		14738.4877
290.0		14740.9719
300.0		14743.4861
310.0		14746.0303
320.0		14748.6035
330.0		14751.2028
340.0		14753.8239
350.0		14756.4612
360.0		14759.1086
370.0		14761.7601
380.0		14764.4108
390.0		14767.0581
400.0		14769.7014
410.0		14772.3421
420.0		14774.9834
430.0		14777.6289
440.0		14780.282
450.0		14782.9451
460.0		14785.6192
470.0		14788.3049
480.0		14791.0017
490.0		14793.7091
500.0		14796.4263
510.0		14799.1527
520.0		14801.8876
530.0		14804.6307
540.0		14807.3815
550.0		14810.1398
560.0		14812.9054
570.0		14815.678
580.0		14818.4575
590.0		14821.2439
600.0		14824.0369
610.0		14826.8365
620.0		14829.6427
630.0		14832.4554
640.0		14835.2745
650.0		14838.0999
660.0		14840.9319
670.0		14843.7701
680.0		14846.6146
690.0		14849.4654
700.0		14852.3224
710.0		14855.1857
720.0		14858.0552
730.0		14860.9309
740.0		14863.8129
750.0		14866.701
760.0		14869.5954
770.0		14872.496
780.0		14875.4027
790.0		14878.3157
800.0		14881.235
810.0		14884.1604
820.0		14887.0921
830.0		14890.03
840.0		14892.9742
850.0		14895.9247
860.0		14898.8815
870.0		14901.8445
880.0		14904.8139
890.0		14907.7897
900.0		14910.7718
910.0		14913.7605
920.0		14916.7555
930.0		14919.7569
940.0		14922.7647
950.0		14925.7791
960.0		14928.7999
970.0		14931.8273
980.0		14934.8613
990.0		14937.9019
1000.0		14940.9491
1010.0		14944.003
1020.0		14947.0636
1030.0		14950.1309
1040.0		14953.205
1050.0		14956.2859
1060.0		14959.3736
1070.0		14962.4682
1080.0		14965.5697
1090.0		14968.6781
1100.0		14971.7935
1110.0		14974.916
1120.0		14978.0455
1130.0		14981.1821
1140.0		14984.3259
1150.0		14987.4768
1160.0		14990.635
1170.0		14993.8004
1180.0		14996.9732
1190.0		15000.1533
1200.0		15003.3409
1210.0		15006.5359
1220.0		15009.7383
1230.0		15012.9484
1240.0		15016.166
1250.0		15019.3912
1260.0		15022.6242
1270.0		15025.8649
1280.0		15029.1133
1290.0		15032.3697
1300.0		15035.6339
1310.0		15038.906
1320.0		15042.1861
1330.0		15045.4743
1340.0		15048.7706
1350.0		15052.075
1360.0		15055.3877
1370.0		15058.7086
1380.0		15062.0377
1390.0		15065.3754
1400.0		15068.7215
1410.0		15072.076
1420.0		15075.4391
1430.0		15078.8108
1440.0		15082.1911
1450.0		15085.5802
1460.0		15088.9781
1470.0		15092.3848
1480.0		15095.8005
1490.0		15099.2251
1500.0		15102.6588
1510.0		15106.1016
1520.0		15109.5535
1530.0		15113.0147
1540.0		15116.4852
1550.0		15119.965
1560.0		15123.4543
1570.0		15126.9531
1580.0		15130.4615
1590.0		15133.9795
1600.0		15137.5072
1610.0		15141.0447
1620.0		15144.592
1630.0		15148.1493
1640.0		15151.7166
1650.0		15155.2939
1660.0		15158.8814
1670.0		15162.4792
1680.0		15166.0872
1690.0		15169.7056
1700.0		15173.3344
1710.0		15176.9738
1720.0		15180.6237
1730.0		15184.2844
1740.0		15187.9558
1750.0		15191.6381
1760.0		15195.3313
1770.0		15199.0355
1780.0		15202.7508
1790.0		15206.4773
1800.0		15210.215
1810.0		15213.9641
1820.0		15217.7247
1830.0		15221.4965
1840.0		15225.2802
1850.0		15229.0756
1860.0		15232.8828
1870.0		15236.7018
1880.0		15240.5328
1890.0		15244.3759
1900.0		15248.2311
1910.0		15252.0985
1920.0		15255.9783
1930.0		15259.8706
1940.0		15263.7753
1950.0		15267.6927
1960.0		15271.6228
1970.0		15275.5658
1980.0		15279.5217
1990.0		15283.4906
2000.0		15287.4726
2010.0		15291.4679
2020.0		15295.4765
2030.0		15299.4985
2040.0		15303.5341
2050.0		15307.5833
2060.0		15311.6463
2070.0		15315.7232
2080.0		15319.814
2090.0		15323.9189
2100.0		15328.038
2110.0		15332.1714
2120.0		15336.3193
2130.0		15340.4816
2140.0		15344.6586
2150.0		15348.8504
