T(K)		B(GPa)
0.0		229.4809
10.0		229.4808
20.0		229.4792
30.0		229.4721
40.0		229.4527
50.0		229.4138
60.0		229.351
70.0		229.2639
80.0		229.1546
90.0		229.0263
100.0		228.8823
110.0		228.7253
120.0		228.5578
130.0		228.3816
140.0		228.1983
150.0		228.0091
160.0		227.8147
170.0		227.616
180.0		227.4135
190.0		227.2075
200.0		226.9985
210.0		226.7868
220.0		226.5724
230.0		226.3557
240.0		226.1367
250.0		225.9156
260.0		225.6925
270.0		225.4674
280.0		225.2406
290.0		225.0121
300.0		224.782
310.0		224.5504
320.0		224.3175
330.0		224.0835
340.0		223.8483
350.0		223.6122
360.0		223.3753
370.0		223.1376
380.0		222.8993
390.0		222.6602
400.0		222.4206
410.0		222.1804
420.0		221.9395
430.0		221.6979
440.0		221.4556
450.0		221.2125
460.0		220.9684
470.0		220.7234
480.0		220.4773
490.0		220.2302
500.0		219.9818
510.0		219.7323
520.0		219.4815
530.0		219.2295
540.0		218.9763
550.0		218.7219
560.0		218.4663
570.0		218.2095
580.0		217.9517
590.0		217.6927
600.0		217.4327
610.0		217.1716
620.0		216.9096
630.0		216.6465
640.0		216.3825
650.0		216.1175
660.0		215.8516
670.0		215.5848
680.0		215.317
690.0		215.0484
700.0		214.7788
710.0		214.5083
720.0		214.237
730.0		213.9647
740.0		213.6916
750.0		213.4175
760.0		213.1426
770.0		212.8668
780.0		212.5902
790.0		212.3126
800.0		212.0342
810.0		211.7549
820.0		211.4747
830.0		211.1937
840.0		210.9118
850.0		210.629
860.0		210.3454
870.0		210.0609
880.0		209.7755
890.0		209.4893
900.0		209.2022
910.0		208.9142
920.0		208.6254
930.0		208.3357
940.0		208.0452
950.0		207.7538
960.0		207.4616
970.0		207.1685
980.0		206.8745
990.0		206.5797
1000.0		206.2841
1010.0		205.9876
1020.0		205.6902
1030.0		205.3921
1040.0		205.093
1050.0		204.7932
1060.0		204.4924
1070.0		204.1909
1080.0		203.8885
1090.0		203.5852
1100.0		203.2812
1110.0		202.9762
1120.0		202.6705
1130.0		202.3639
