T(K)		V(bohr^3)
0.0		14689.5994
10.0		14689.6002
20.0		14689.6122
30.0		14689.6652
40.0		14689.8105
50.0		14690.1091
60.0		14690.6096
70.0		14691.3367
80.0		14692.2937
90.0		14693.4692
100.0		14694.8447
110.0		14696.3989
120.0		14698.1104
130.0		14699.9596
140.0		14701.929
150.0		14704.0033
160.0		14706.1691
170.0		14708.4153
180.0		14710.7319
190.0		14713.1109
200.0		14715.5452
210.0		14718.0287
220.0		14720.5562
230.0		14723.1233
240.0		14725.7261
250.0		14728.3614
260.0		14731.0263
270.0		14733.7183
280.0		14736.4352
290.0		14739.1752
300.0		14741.9365
310.0		14744.7177
320.0		14747.5176
330.0		14750.3351
340.0		14753.169
350.0		14756.0187
360.0		14758.8833
370.0		14761.7621
380.0		14764.6545
390.0		14767.5602
400.0		14770.4785
410.0		14773.4092
420.0		14776.3518
430.0		14779.306
440.0		14782.2716
450.0		14785.2484
460.0		14788.2361
470.0		14791.2346
480.0		14794.2437
490.0		14797.2633
500.0		14800.2934
510.0		14803.3338
520.0		14806.3844
530.0		14809.4453
540.0		14812.5164
550.0		14815.5977
560.0		14818.6891
570.0		14821.7907
580.0		14824.9024
590.0		14828.0243
600.0		14831.1563
610.0		14834.2985
620.0		14837.451
630.0		14840.6135
640.0		14843.7866
650.0		14846.9698
660.0		14850.1633
670.0		14853.3672
680.0		14856.5814
690.0		14859.806
700.0		14863.0411
710.0		14866.2866
720.0		14869.5425
730.0		14872.8089
740.0		14876.0858
750.0		14879.3732
760.0		14882.6711
770.0		14885.9794
780.0		14889.2983
790.0		14892.6277
800.0		14895.9675
810.0		14899.3178
820.0		14902.6785
830.0		14906.0496
840.0		14909.4311
850.0		14912.8229
860.0		14916.225
870.0		14919.6376
880.0		14923.0602
890.0		14926.4929
900.0		14929.9358
910.0		14933.3887
920.0		14936.8515
930.0		14940.3242
940.0		14943.8067
950.0		14947.299
960.0		14950.801
970.0		14954.3125
980.0		14957.8335
990.0		14961.364
1000.0		14964.9038
1010.0		14968.4528
1020.0		14972.011
1030.0		14975.5783
1040.0		14979.1545
1050.0		14982.7396
1060.0		14986.3335
1070.0		14989.9362
1080.0		14993.5474
1090.0		14997.1672
1100.0		15000.7954
1110.0		15004.432
1120.0		15008.0769
1130.0		15011.73
1140.0		15015.3912
1150.0		15019.0605
1160.0		15022.7378
1170.0		15026.4229
1180.0		15030.1159
1190.0		15033.8167
1200.0		15037.5252
1210.0		15041.2413
1220.0		15044.9651
1230.0		15048.6964
1240.0		15052.4352
1250.0		15056.1814
1260.0		15059.9351
1270.0		15063.6962
1280.0		15067.4646
1290.0		15071.2403
1300.0		15075.0234
1310.0		15078.8137
1320.0		15082.6113
1330.0		15086.4161
1340.0		15090.2281
1350.0		15094.0473
1360.0		15097.8738
1370.0		15101.7075
1380.0		15105.5483
1390.0		15109.3964
1400.0		15113.2518
1410.0		15117.1143
1420.0		15120.9841
1430.0		15124.8612
1440.0		15128.7455
1450.0		15132.6372
1460.0		15136.5361
1470.0		15140.4424
1480.0		15144.3561
1490.0		15148.2772
1500.0		15152.2057
1510.0		15156.1417
1520.0		15160.0852
1530.0		15164.0363
1540.0		15167.9949
1550.0		15171.9611
1560.0		15175.935
1570.0		15179.9165
1580.0		15183.9059
1590.0		15187.9029
1600.0		15191.9078
1610.0		15195.9206
1620.0		15199.9413
1630.0		15203.9697
1640.0		15208.0063
1650.0		15212.051
1660.0		15216.1038
1670.0		15220.1647
1680.0		15224.2337
1690.0		15228.311
1700.0		15232.3966
1710.0		15236.4904
1720.0		15240.5926
1730.0		15244.7032
1740.0		15248.8222
1750.0		15252.9497
1760.0		15257.0857
1770.0		15261.2303
1780.0		15265.3834
1790.0		15269.5453
1800.0		15273.7157
1810.0		15277.8949
1820.0		15282.0828
1830.0		15286.2794
1840.0		15290.4851
1850.0		15294.6994
1860.0		15298.9227
1870.0		15303.1548
1880.0		15307.3959
1890.0		15311.6459
1900.0		15315.9049
1910.0		15320.1729
1920.0		15324.4499
1930.0		15328.736
1940.0		15333.0311
1950.0		15337.3353
1960.0		15341.6486
1970.0		15345.971
1980.0		15350.3026
1990.0		15354.6432
2000.0		15358.993
2010.0		15363.352
2020.0		15367.7201
2030.0		15372.0973
2040.0		15376.4837
2050.0		15380.8793
2060.0		15385.2843
2070.0		15389.6982
2080.0		15394.1212
2090.0		15398.5534
2100.0		15402.9947
2110.0		15407.4452
2120.0		15411.9047
2130.0		15416.3734
2140.0		15420.8511
2150.0		15425.3379
2160.0		15429.8337
2170.0		15434.3385
2180.0		15438.8523
2190.0		15443.3751
2200.0		15447.9069
2210.0		15452.4475
2220.0		15456.9971
2230.0		15461.5554
2240.0		15466.1226
2250.0		15470.6986
2260.0		15475.2833
2270.0		15479.8767
2280.0		15484.4788
2290.0		15489.0895
2300.0		15493.7088
2310.0		15498.3366
2320.0		15502.9729
2330.0		15507.6176
2340.0		15512.2707
2350.0		15516.9319
2360.0		15521.6018
2370.0		15526.2797
2380.0		15530.9657
2390.0		15535.6599
2400.0		15540.3621
2410.0		15545.0722
2420.0		15549.7903
2430.0		15554.5162
2440.0		15559.25
2450.0		15563.9914
2460.0		15568.7404
2470.0		15573.497
2480.0		15578.2611
2490.0		15583.0327
2500.0		15587.8116
2510.0		15592.5977
2520.0		15597.3908
2530.0		15602.1913
2540.0		15606.9988
2550.0		15611.8133
2560.0		15616.6346
2570.0		15621.4627
2580.0		15626.2975
2590.0		15631.1389
2600.0		15635.9868
2610.0		15640.8411
2620.0		15645.7018
2630.0		15650.5687
2640.0		15655.4418
2650.0		15660.3209
2660.0		15665.206
2670.0		15670.0969
2680.0		15674.9936
2690.0		15679.896
2700.0		15684.804
2710.0		15689.7175
2720.0		15694.6363
2730.0		15699.5604
