formula,Nb,Mo,Ta,W,SFE
Nb18Mo32Ta9W41,18,32,9,41,0.8304
Nb25Mo53Ta1W21,25,53,1,21,0.8031
Nb59Mo3Ta28W10,59,3,28,10,1.1207
Nb39Mo40Ta8W13,39,40,8,13,1.4275
Nb32Mo19Ta25W24,32,19,25,24,1.3765
Nb13Mo10Ta39W38,13,10,39,38,1.4521
Nb60Mo3Ta9W28,60,3,9,28,1.2646
Nb43Mo9Ta9W39,43,9,9,39,1.414
Nb3Mo27Ta50W20,3,27,50,20,1.4128
Nb44Mo26Ta17W13,44,26,17,13,1.3051
Nb29Mo50Ta14W7,29,50,14,7,1.7572
Nb19Mo18Ta1W62,19,18,1,62,0.819
Nb19Mo57Ta8W16,19,57,8,16,0.8337
Nb17Mo14Ta53W16,17,14,53,16,1.2825
Nb31Mo27Ta10W32,31,27,10,32,1.9161
Nb30Mo10Ta18W42,30,10,18,42,1.4708
Nb26Mo17Ta35W22,26,17,35,22,1.3331
Nb39Mo41Ta10W10,39,41,10,10,1.3437
Nb60Mo3Ta2W35,60,3,2,35,1.3357
Nb4Mo79Ta8W9,4,79,8,9,1.2184
Nb6Mo68Ta15W11,6,68,15,11,0.8129
Nb6Mo11Ta13W70,6,11,13,70,0.8732
Nb33Mo39Ta23W5,33,39,23,5,1.3289
Nb17Mo47Ta22W14,17,47,22,14,1.7967
Nb26Mo27Ta23W24,26,27,23,24,1.4649
Nb25Mo40Ta9W26,25,40,9,26,1.5839
Nb19Mo26Ta13W42,19,26,13,42,1.3206
Nb14Mo33Ta2W51,14,33,2,51,0.8317
Nb67Mo19Ta7W7,67,19,7,7,1.1804
Nb85Mo6Ta3W6,85,6,3,6,1.1017
Nb1Mo32Ta26W41,1,32,26,41,0.791
Nb22Mo9Ta8W61,22,9,8,61,1.2452
Nb44Mo8Ta38W10,44,8,38,10,1.1743
Nb47Mo6Ta32W15,47,6,32,15,1.21
Nb49Mo5Ta29W17,49,5,29,17,1.2151
Nb19Mo25Ta24W32,19,25,24,32,1.8617
Nb24Mo41Ta33W2,24,41,33,2,1.3181
Nb38Mo13Ta6W43,38,13,6,43,1.6042
Nb20Mo46Ta6W28,20,46,6,28,0.8015
Nb38Mo34Ta21W7,38,34,21,7,1.2997
Nb34Mo35Ta29W2,34,35,29,2,1.2776
Nb55Mo19Ta5W21,55,19,5,21,1.3067
Nb7Mo4Ta38W51,7,4,38,51,1.7724
Nb76Mo1Ta22W1,76,1,22,1,0.997
Nb8Mo18Ta38W36,8,18,38,36,1.8176
Nb56Mo5Ta3W36,56,5,3,36,1.35
Nb48Mo14Ta3W35,48,14,3,35,1.3938
Nb63Mo9Ta13W15,63,9,13,15,1.1962
Nb43Mo30Ta4W23,43,30,4,23,1.4155
Nb22Mo6Ta27W45,22,6,27,45,1.4841
Nb56Mo19Ta12W13,56,19,12,13,1.2479
Nb4Mo34Ta1W61,4,34,1,61,1.651
Nb1Mo29Ta62W8,1,29,62,8,1.3263
Nb66Mo4Ta18W12,66,4,18,12,1.1406
Nb25Mo22Ta45W8,25,22,45,8,1.2565
Nb18Mo28Ta25W29,18,28,25,29,1.9055
Nb46Mo20Ta22W12,46,20,22,12,1.2533
Nb49Mo4Ta22W25,49,4,22,25,1.2754
Nb4Mo67Ta26W3,4,67,26,3,0.8599
Nb70Mo3Ta16W11,70,3,16,11,1.1085
Nb78Mo2Ta19W1,78,2,19,1,0.9987
Nb5Mo2Ta75W18,5,2,75,18,1.2009
Nb11Mo40Ta44W5,11,40,44,5,1.3514
Nb3Mo64Ta11W22,3,64,11,22,1.593
